ward,Precinct,Register Voters,Ballots Cast,Turnout %
1,1,703,299,42.53%
1,2,641,267,41.65%
1,3,760,322,42.37%
1,4,721,316,43.83%
1,5,716,306,42.74%
1,6,696,367,52.73%
1,7,442,204,46.15%
1,8,645,322,49.92%
1,9,506,279,55.14%
1,10,733,306,41.75%
1,11,705,306,43.40%
1,12,821,341,41.53%
1,13,326,128,39.26%
1,14,657,359,54.64%
1,15,633,284,44.87%
1,16,526,231,43.92%
1,17,619,265,42.81%
1,18,739,321,43.44%
1,19,867,376,43.37%
1,20,583,262,44.94%
1,21,734,305,41.55%
1,22,487,163,33.47%
1,23,880,422,47.95%
1,24,671,243,36.21%
1,25,667,208,31.18%
1,26,613,202,32.95%
1,27,724,274,37.85%
1,28,298,168,56.38%
1,29,636,292,45.91%
1,30,764,321,42.02%
1,31,710,303,42.68%
1,32,639,287,44.91%
1,33,771,314,40.73%
1,34,557,246,44.17%
1,35,756,324,42.86%
1,36,660,328,49.70%
1,37,645,324,50.23%
1,38,617,286,46.35%
1,39,653,249,38.13%
1,40,666,312,46.85%
1,41,418,208,49.76%
1,42,214,92,42.99%
1,43,488,213,43.65%
1,44,511,189,36.99%
1,Total,"27,818","12,134",43.62%
1,,,,
2,WARD 2,,,
2,Precinct,Register Voters,Ballots Cast,Turnout %
2,1,727,294,40.44%
2,2,530,360,67.92%
2,3,699,330,47.21%
2,4,690,303,43.91%
2,5,762,342,44.88%
2,6,709,307,43.30%
2,7,874,296,33.87%
2,8,742,314,42.32%
2,9,643,330,51.32%
2,10,651,451,69.28%
2,11,595,395,66.39%
2,12,701,402,57.35%
2,13,628,454,72.29%
2,14,717,364,50.77%
2,15,673,324,48.14%
2,16,673,268,39.82%
2,17,809,397,49.07%
2,18,572,315,55.07%
2,19,514,380,73.93%
2,20,793,354,44.64%
2,21,700,320,45.71%
2,22,693,410,59.16%
2,23,512,352,68.75%
2,24,644,344,53.42%
2,25,686,334,48.69%
2,26,673,358,53.19%
2,27,622,347,55.79%
2,28,780,406,52.05%
2,29,738,377,51.08%
2,30,614,333,54.23%
2,31,907,545,60.09%
2,32,586,300,51.19%
2,33,895,595,66.48%
2,34,542,366,67.53%
2,35,842,364,43.23%
2,36,508,329,64.76%
2,37,614,399,64.98%
2,38,645,430,66.67%
2,39,541,291,53.79%
2,40,705,322,45.67%
2,41,680,269,39.56%
2,42,674,349,51.78%
2,43,734,425,57.90%
2,44,398,272,68.34%
2,45,723,424,58.64%
2,46,428,241,56.31%
2,Total,"30,786","16,482",53.54%
2,,,,
3,WARD 3,,,
3,Precinct,Register Voters,Ballots Cast,Turnout %
3,1,999,470,47.05%
3,2,703,543,77.24%
3,3,749,446,59.55%
3,4,767,458,59.71%
3,5,692,306,44.22%
3,6,751,417,55.53%
3,7,594,389,65.49%
3,8,736,342,46.47%
3,9,679,414,60.97%
3,10,636,267,41.98%
3,11,705,405,57.45%
3,12,669,442,66.07%
3,13,749,476,63.55%
3,14,652,353,54.14%
3,15,672,379,56.40%
3,16,787,384,48.79%
3,17,730,372,50.96%
3,18,1106,592,53.53%
3,19,689,431,62.55%
3,20,788,430,54.57%
3,21,773,484,62.61%
3,22,760,387,50.92%
3,23,747,386,51.67%
3,24,755,352,46.62%
3,25,865,490,56.65%
3,26,711,506,71.17%
3,27,721,403,55.89%
3,28,618,331,53.56%
3,29,892,432,48.43%
3,30,734,419,57.08%
3,31,796,464,58.29%
3,32,739,417,56.43%
3,33,754,375,49.73%
3,34,782,464,59.34%
3,35,515,217,42.14%
3,36,621,249,40.10%
3,37,706,340,48.16%
3,38,616,399,64.77%
3,39,712,358,50.28%
3,40,767,442,57.63%
3,41,729,321,44.03%
3,Total,"30,166","16,552",54.87%
3,,,,
4,WARD 4,,,
4,Precinct,Register Voters,Ballots Cast,Turnout %
4,1,759,450,59.29%
4,2,676,446,65.98%
4,3,728,414,56.87%
4,4,926,554,59.83%
4,5,659,434,65.86%
4,6,837,561,67.03%
4,7,786,521,66.28%
4,8,774,505,65.25%
4,9,772,562,72.80%
4,10,798,483,60.53%
4,11,835,475,56.89%
4,12,796,442,55.53%
4,13,534,274,51.31%
4,14,716,423,59.08%
4,15,813,513,63.10%
4,16,764,388,50.79%
4,17,684,431,63.01%
4,18,701,452,64.48%
4,19,873,452,51.78%
4,20,648,435,67.13%
4,21,827,414,50.06%
4,22,748,453,60.56%
4,23,854,530,62.06%
4,24,741,402,54.25%
4,25,684,424,61.99%
4,26,741,463,62.48%
4,27,746,414,55.50%
4,28,670,376,56.12%
4,29,704,392,55.68%
4,30,983,585,59.51%
4,31,630,487,77.30%
4,32,802,424,52.87%
4,33,754,480,63.66%
4,34,641,389,60.69%
4,35,897,553,61.65%
4,36,786,469,59.67%
4,37,676,416,61.54%
4,38,755,510,67.55%
4,Total,"28,718","17,396",60.58%
4,,,,
5,WARD 5,,,
5,Precinct,Register Voters,Ballots Cast,Turnout %
5,1,718,358,49.86%
5,2,761,366,48.09%
5,3,604,396,65.56%
5,4,734,417,56.81%
5,5,728,431,59.20%
5,6,690,360,52.17%
5,7,557,380,68.22%
5,8,615,442,71.87%
5,9,714,441,61.76%
5,10,724,344,47.51%
5,11,638,440,68.97%
5,12,770,346,44.94%
5,13,686,298,43.44%
5,14,585,364,62.22%
5,15,606,375,61.88%
5,16,809,407,50.31%
5,17,763,373,48.89%
5,18,533,347,65.10%
5,19,639,408,63.85%
5,20,679,459,67.60%
5,21,656,372,56.71%
5,22,643,469,72.94%
5,23,939,618,65.81%
5,24,659,394,59.79%
5,25,729,400,54.87%
5,26,699,376,53.79%
5,27,573,329,57.42%
5,28,748,459,61.36%
5,29,791,542,68.52%
5,30,748,322,43.05%
5,31,698,344,49.28%
5,32,674,419,62.17%
5,33,791,462,58.41%
5,34,696,463,66.52%
