ward,Precinct,Register Voters,Ballots Cast,Turnout %
1,1,838,455,54.30%
1,2,786,420,53.44%
1,3,899,431,47.94%
1,4,847,388,45.81%
1,5,856,378,44.16%
1,6,804,404,50.25%
1,7,504,285,56.55%
1,8,778,366,47.04%
1,9,591,357,60.41%
1,10,928,406,43.75%
1,11,843,413,48.99%
1,12,954,444,46.54%
1,13,401,196,48.88%
1,14,789,427,54.12%
1,15,757,388,51.25%
1,16,604,363,60.10%
1,17,718,410,57.10%
1,18,862,438,50.81%
1,19,962,538,55.93%
1,20,721,356,49.38%
1,21,882,397,45.01%
1,22,563,307,54.53%
1,23,1054,615,58.35%
1,24,875,417,47.66%
1,25,817,422,51.65%
1,26,690,337,48.84%
1,27,862,396,45.94%
1,28,331,165,49.85%
1,29,766,369,48.17%
1,30,899,456,50.72%
1,31,833,423,50.78%
1,32,754,390,51.72%
1,33,912,421,46.16%
1,34,657,378,57.53%
1,35,899,449,49.94%
1,36,785,351,44.71%
1,37,802,382,47.63%
1,38,776,421,54.25%
1,39,745,340,45.64%
1,40,819,390,47.62%
1,41,469,271,57.78%
1,42,251,124,49.40%
1,43,536,288,53.73%
1,44,638,361,56.58%
1,Total,"33,057","16,733",50.62%
1,,,,
2,WARD 2,,,
2,Precinct,Register Voters,Ballots Cast,Turnout %
2,1,891,386,43.32%
2,2,607,239,39.37%
2,3,862,419,48.61%
2,4,763,360,47.18%
2,5,931,413,44.36%
2,6,853,401,47.01%
2,7,1101,356,32.33%
2,8,955,415,43.46%
2,9,747,239,31.99%
2,10,688,248,36.05%
2,11,720,292,40.56%
2,12,761,354,46.52%
2,13,684,310,45.32%
2,14,833,416,49.94%
2,15,806,364,45.16%
2,16,781,326,41.74%
2,17,917,445,48.53%
2,18,661,281,42.51%
2,19,580,202,34.83%
2,20,971,302,31.10%
2,21,814,384,47.17%
2,22,803,294,36.61%
2,23,562,213,37.90%
2,24,724,306,42.27%
2,25,844,372,44.08%
2,26,755,301,39.87%
2,27,694,275,39.63%
2,28,867,311,35.87%
2,29,842,301,35.75%
2,30,694,254,36.60%
2,31,986,363,36.82%
2,32,665,228,34.29%
2,33,1040,456,43.85%
2,34,596,237,39.77%
2,35,1014,312,30.77%
2,36,589,255,43.29%
2,37,655,277,42.29%
2,38,715,272,38.04%
2,39,618,194,31.39%
2,40,844,277,32.82%
2,41,890,228,25.62%
2,42,789,335,42.46%
2,43,910,338,37.14%
2,44,452,190,42.04%
2,45,842,353,41.92%
2,46,487,187,38.40%
2,Total,"35,803","14,281",39.89%
2,,,,
3,WARD 3,,,
3,Precinct,Register Voters,Ballots Cast,Turnout %
3,1,1122,587,52.32%
3,2,807,596,73.85%
3,3,824,450,54.61%
3,4,868,491,56.57%
3,5,721,342,47.43%
3,6,888,379,42.68%
3,7,625,341,54.56%
3,8,864,466,53.94%
3,9,805,466,57.89%
3,10,671,262,39.05%
3,11,841,484,57.55%
3,12,759,495,65.22%
3,13,827,424,51.27%
3,14,789,411,52.09%
3,15,838,488,58.23%
3,16,897,454,50.61%
3,17,930,455,48.92%
3,18,1298,684,52.70%
3,19,839,360,42.91%
3,20,914,510,55.80%
3,21,838,403,48.09%
3,22,1000,471,47.10%
3,23,802,445,55.49%
3,24,822,426,51.82%
3,25,1150,501,43.57%
3,26,838,470,56.09%
3,27,902,367,40.69%
3,28,667,318,47.68%
3,29,1022,496,48.53%
3,30,814,449,55.16%
3,31,941,556,59.09%
3,32,891,441,49.49%
3,33,946,410,43.34%
3,34,953,476,49.95%
3,35,605,222,36.69%
3,36,672,279,41.52%
3,37,847,403,47.58%
3,38,674,394,58.46%
3,39,920,405,44.02%
3,40,888,497,55.97%
3,41,829,388,46.80%
3,Total,"35,148","17,962",51.10%
3,,,,
4,WARD 4,,,
4,Precinct,Register Voters,Ballots Cast,Turnout %
4,1,878,540,61.50%
4,2,862,435,50.46%
4,3,843,471,55.87%
4,4,1071,657,61.34%
4,5,769,491,63.85%
4,6,936,570,60.90%
4,7,914,556,60.83%
4,8,869,541,62.26%
4,9,827,575,69.53%
4,10,898,555,61.80%
4,11,950,535,56.32%
4,12,949,527,55.53%
4,13,697,388,55.67%
4,14,799,478,59.82%
4,15,997,606,60.78%
4,16,913,507,55.53%
4,17,837,509,60.81%
4,18,815,456,55.95%
4,19,928,516,55.60%
4,20,701,397,56.63%
4,21,984,520,52.85%
4,22,793,483,60.91%
4,23,998,616,61.72%
4,24,815,448,54.97%
4,25,790,426,53.92%
4,26,853,484,56.74%
4,27,871,526,60.39%
4,28,723,416,57.54%
4,29,836,462,55.26%
4,30,1162,651,56.02%
4,31,681,491,72.10%
4,32,910,505,55.49%
4,33,899,528,58.73%
4,34,747,411,55.02%
4,35,996,583,58.53%
4,36,887,527,59.41%
4,37,988,450,45.55%
4,38,791,518,65.49%
4,Total,"33,177","19,355",58.34%
4,,,,
5,WARD 5,,,
5,Precinct,Register Voters,Ballots Cast,Turnout %
5,1,852,397,46.60%
5,2,810,393,48.52%
5,3,692,483,69.80%
5,4,846,525,62.06%
5,5,825,462,56.00%
5,6,775,392,50.58%
5,7,676,439,64.94%
5,8,703,457,65.01%
5,9,821,540,65.77%
5,10,791,386,48.80%
5,11,723,473,65.42%
5,12,808,363,44.93%
5,13,754,388,51.46%
5,14,613,403,65.74%
5,15,717,437,60.95%
5,16,875,438,50.06%
5,17,823,449,54.56%
5,18,638,409,64.11%
5,19,685,436,63.65%
5,20,780,496,63.59%
5,21,730,479,65.62%
5,22,715,480,67.13%
5,23,1138,711,62.48%
5,24,808,509,63.00%
5,25,797,428,53.70%
