ward,Precinct,Register Voters,Ballots Cast,Turnout %
1,1,894,637,71.25%
1,2,837,601,71.80%
1,3,1001,749,74.83%
1,4,921,721,78.28%
1,5,939,715,76.14%
1,6,845,648,76.69%
1,7,556,455,81.83%
1,8,795,622,78.24%
1,9,658,551,83.74%
1,10,985,798,81.02%
1,11,919,716,77.91%
1,12,1042,748,71.79%
1,13,411,286,69.59%
1,14,855,660,77.19%
1,15,799,591,73.97%
1,16,729,606,83.13%
1,17,768,558,72.66%
1,18,936,674,72.01%
1,19,998,795,79.66%
1,20,697,507,72.74%
1,21,972,770,79.22%
1,22,588,411,69.90%
1,23,1103,837,75.88%
1,24,913,579,63.42%
1,25,864,604,69.91%
1,26,706,441,62.46%
1,27,919,673,73.23%
1,28,331,227,68.58%
1,29,794,630,79.35%
1,30,990,727,73.43%
1,31,910,647,71.10%
1,32,823,629,76.43%
1,33,972,719,73.97%
1,34,716,561,78.35%
1,35,1009,810,80.28%
1,36,884,688,77.83%
1,37,845,655,77.51%
1,38,841,660,78.48%
1,39,807,563,69.76%
1,40,875,650,74.29%
1,41,443,347,78.33%
1,42,251,192,76.49%
1,43,568,425,74.82%
1,44,677,533,78.73%
1,Total,"35,386","26,616",75.22%
1,,,,
2,WARD 2,,,
2,Precinct,Register Voters,Ballots Cast,Turnout %
2,1,979,716,73.14%
2,2,653,533,81.62%
2,3,914,781,85.45%
2,4,825,602,72.97%
2,5,996,793,79.62%
2,6,910,657,72.20%
2,7,960,651,67.81%
2,8,1085,801,73.82%
2,9,776,623,80.28%
2,10,715,597,83.50%
2,11,797,673,84.44%
2,12,789,618,78.33%
2,13,704,616,87.50%
2,14,907,688,75.85%
2,15,870,651,74.83%
2,16,868,622,71.66%
2,17,1001,745,74.43%
2,18,767,670,87.35%
2,19,576,488,84.72%
2,20,1058,786,74.29%
2,21,878,655,74.60%
2,22,827,715,86.46%
2,23,566,462,81.63%
2,24,772,647,83.81%
2,25,909,762,83.83%
2,26,806,615,76.30%
2,27,752,666,88.56%
2,28,912,770,84.43%
2,29,886,745,84.09%
2,30,720,581,80.69%
2,31,995,831,83.52%
2,32,739,622,84.17%
2,33,1121,980,87.42%
2,34,631,545,86.37%
2,35,1096,909,82.94%
2,36,649,562,86.59%
2,37,673,590,87.67%
2,38,725,645,88.97%
2,39,654,495,75.69%
2,40,985,826,83.86%
2,41,1032,744,72.09%
2,42,923,789,85.48%
2,43,1098,951,86.61%
2,44,493,442,89.66%
2,45,870,660,75.86%
2,46,534,421,78.84%
2,Total,"38,396","30,941",80.58%
2,,,,
3,WARD 3,,,
3,Precinct,Register Voters,Ballots Cast,Turnout %
3,1,1081,743,68.73%
3,2,808,684,84.65%
3,3,838,615,73.39%
3,4,880,640,72.73%
3,5,710,463,65.21%
3,6,942,773,82.06%
3,7,590,430,72.88%
3,8,884,627,70.93%
3,9,841,602,71.58%
3,10,645,363,56.28%
3,11,855,626,73.22%
3,12,756,567,75.00%
3,13,862,742,86.08%
3,14,876,690,78.77%
3,15,878,651,74.15%
3,16,900,602,66.89%
3,17,997,784,78.64%
3,18,1306,912,69.83%
3,19,871,749,85.99%
3,20,923,646,69.99%
3,21,843,710,84.22%
3,22,1097,888,80.95%
3,23,842,574,68.17%
3,24,832,583,70.07%
3,25,1255,1040,82.87%
3,26,866,737,85.10%
3,27,976,802,82.17%
3,28,637,384,60.28%
3,29,1081,725,67.07%
3,30,800,579,72.38%
3,31,966,775,80.23%
3,32,927,781,84.25%
3,33,955,800,83.77%
3,34,1010,822,81.39%
3,35,610,316,51.80%
3,36,665,404,60.75%
3,37,841,573,68.13%
3,38,658,502,76.29%
3,39,1056,874,82.77%
3,40,909,714,78.55%
3,41,800,535,66.88%
3,Total,"36,069","27,027",74.93%
3,,,,
4,WARD 4,,,
4,Precinct,Register Voters,Ballots Cast,Turnout %
4,1,949,797,83.98%
4,2,948,800,84.39%
4,3,826,607,73.49%
4,4,1129,838,74.22%
4,5,786,597,75.95%
4,6,934,734,78.59%
4,7,942,725,76.96%
4,8,891,688,77.22%
4,9,815,647,79.39%
4,10,920,687,74.67%
4,11,932,700,75.11%
4,12,955,682,71.41%
4,13,898,744,82.85%
4,14,832,641,77.04%
4,15,1002,760,75.85%
4,16,1042,945,90.69%
4,17,944,862,91.31%
4,18,827,573,69.29%
4,19,933,633,67.85%
4,20,708,587,82.91%
4,21,1046,895,85.56%
4,22,826,631,76.39%
4,23,999,818,81.88%
4,24,834,577,69.18%
4,25,846,744,87.94%
4,26,834,626,75.06%
4,27,928,738,79.53%
4,28,714,581,81.37%
4,29,884,639,72.29%
4,30,1211,879,72.58%
4,31,700,602,86.00%
4,32,931,672,72.18%
4,33,879,683,77.70%
4,34,758,572,75.46%
4,35,988,731,73.99%
4,36,901,683,75.80%
4,37,1212,1041,85.89%
4,38,793,629,79.32%
4,Total,"34,497","26,988",78.23%
4,,,,
5,WARD 5,,,
5,Precinct,Register Voters,Ballots Cast,Turnout %
5,1,845,570,67.46%
5,2,811,518,63.87%
5,3,772,658,85.23%
5,4,925,732,79.14%
5,5,810,587,72.47%
5,6,763,513,67.23%
5,7,701,581,82.88%
5,8,724,632,87.29%
5,9,854,691,80.91%
5,10,789,550,69.71%
5,11,780,629,80.64%
5,12,828,491,59.30%
5,13,787,525,66.71%
5,14,628,468,74.52%
5,15,734,588,80.11%
5,16,914,628,68.71%
5,17,831,570,68.59%
5,18,680,569,83.68%
5,19,706,586,83.00%
5,20,787,658,83.61%
5,21,776,644,82.99%
5,22,726,648,89.26%
5,23,1213,1049,86.48%
5,24,830,670,80.72%
5,25,766,543,70.89%
5,26,812,634,78.08%
5,27,785,871,110.96%
5,28,796,609,76.51%
5,29,926,658,71.06%
5,30,800,502,62.75%
5,31,722,506,70.08%
5,32,780,624,80.00%
5,33,845,624,73.85%
5,34,869,783,90.10%
5,35,739,619,83.76%
5,36,705,403,57.16%
5,37,737,623,84.53%
5,38,823,599,72.78%
5,39,624,506,81.09%
5,40,634,477,75.24%
5,41,354,299,84.46%
5,Total,"31,931","24,635",77.15%
5,,,,
6,WARD 6,,,
6,Precinct,Register Voters,Ballots Cast,Turnout %
6,1,702,520,74.07%
6,2,704,518,73.58%
6,3,708,521,73.59%
6,4,673,449,66.72%
6,5,741,410,55.33%
6,6,685,475,69.34%
6,7,751,515,68.58%
6,8,687,508,73.94%
6,9,860,589,68.49%
6,10,681,401,58.88%
6,11,786,493,62.72%
6,12,807,467,57.87%
6,13,599,396,66.11%
6,14,792,517,65.28%
6,15,965,545,56.48%
6,16,697,495,71.02%
6,17,742,453,61.05%
6,18,693,436,62.91%
6,19,729,495,67.90%
6,20,705,388,55.04%
6,21,634,367,57.89%
6,22,686,404,58.89%
6,23,686,366,53.35%
6,24,582,322,55.33%
6,25,639,348,54.46%
6,26,781,466,59.67%
6,27,681,371,54.48%
6,28,675,331,49.04%
6,29,685,508,74.16%
6,30,783,497,63.47%
6,31,684,489,71.49%
6,32,714,485,67.93%
6,33,715,512,71.61%
6,34,727,531,73.04%
6,35,669,461,68.91%
6,36,688,524,76.16%
6,37,672,481,71.58%
6,38,710,509,71.69%
6,39,788,492,62.44%
6,40,679,449,66.13%
6,41,735,508,69.12%
6,42,810,563,69.51%
6,43,694,463,66.71%
6,44,815,568,69.69%
6,45,742,567,76.42%
6,46,553,364,65.82%
6,47,619,430,69.47%
6,48,772,517,66.97%
6,Total,"34,325","22,484",65.50%
6,,,,
7,WARD 7,,,
7,Precinct,Register Voters,Ballots Cast,Turnout %
7,1,763,502,65.79%
7,2,898,546,60.80%
7,3,637,463,72.68%
7,4,684,455,66.52%
7,5,716,441,61.59%
7,6,784,632,80.61%
7,7,816,550,67.40%
7,8,700,418,59.71%
7,9,1067,798,74.79%
7,10,717,513,71.55%
7,11,882,609,69.05%
7,12,797,521,65.37%
7,13,529,330,62.38%
7,14,842,555,65.91%
7,15,710,484,68.17%
7,16,796,461,57.91%
7,17,674,444,65.88%
7,18,770,488,63.38%
7,19,733,473,64.53%
7,20,680,395,58.09%
7,21,728,434,59.62%
7,22,749,447,59.68%
7,23,650,456,70.15%
7,24,735,441,60.00%
7,25,827,487,58.89%
7,26,567,380,67.02%
7,27,652,412,63.19%
7,28,637,391,61.38%
7,29,661,416,62.93%
7,30,787,426,54.13%
7,31,572,331,57.87%
7,32,785,602,76.69%
7,33,779,551,70.73%
7,34,790,532,67.34%
7,35,804,492,61.19%
7,36,786,561,71.37%
7,37,725,503,69.38%
7,38,696,451,64.80%
7,39,679,429,63.18%
7,40,662,433,65.41%
7,41,737,469,63.64%
7,42,685,447,65.26%
7,43,720,478,66.39%
7,44,732,447,61.07%
7,45,837,538,64.28%
7,46,289,202,69.90%
7,Total,"33,466","21,834",65.24%
7,,,,
8,WARD 8,,,
8,Precinct,Register Voters,Ballots Cast,Turnout %
8,1,705,427,60.57%
8,2,857,515,60.09%
8,3,686,494,72.01%
8,4,656,505,76.98%
8,5,682,496,72.73%
8,6,779,494,63.41%
8,7,767,562,73.27%
8,8,651,445,68.36%
8,9,469,335,71.43%
8,10,724,557,76.93%
8,11,652,455,69.79%
8,12,619,449,72.54%
8,13,892,582,65.25%
8,14,752,491,65.29%
8,15,731,509,69.63%
8,16,296,188,63.51%
8,17,545,398,73.03%
8,18,976,569,58.30%
8,19,753,504,66.93%
8,20,760,523,68.82%
8,21,941,660,70.14%
8,22,662,456,68.88%
8,23,700,449,64.14%
8,24,393,303,77.10%
8,25,771,520,67.44%
8,26,792,526,66.41%
8,27,718,517,72.01%
8,28,732,511,69.81%
8,29,868,578,66.59%
8,30,796,552,69.35%
8,31,597,392,65.66%
8,32,578,417,72.15%
8,33,717,492,68.62%
8,34,675,444,65.78%
8,35,709,496,69.96%
8,36,743,520,69.99%
8,37,510,389,76.27%
8,38,542,332,61.25%
8,39,739,509,68.88%
8,40,565,392,69.38%
8,41,741,544,73.41%
8,42,898,674,75.06%
8,43,440,285,64.77%
8,44,526,347,65.97%
8,45,805,549,68.20%
8,46,600,424,70.67%
8,47,629,415,65.98%
8,48,736,495,67.26%
8,49,682,454,66.57%
8,50,697,492,70.59%
8,51,704,530,75.28%
8,52,853,610,71.51%
8,53,397,278,70.03%
8,54,740,497,67.16%
8,55,534,386,72.28%
8,56,710,511,71.97%
8,Total,"38,392","26,444",68.88%
8,,,,
9,WARD 9,,,
9,Precinct,Register Voters,Ballots Cast,Turnout %
9,1,785,502,63.95%
9,2,683,452,66.18%
9,3,823,500,60.75%
9,4,626,401,64.06%
9,5,689,425,61.68%
9,6,708,472,66.67%
9,7,687,397,57.79%
9,8,872,549,62.96%
9,9,765,539,70.46%
9,10,689,413,59.94%
9,11,639,397,62.13%
9,12,746,532,71.31%
9,13,715,489,68.39%
9,14,793,569,71.75%
9,15,1066,623,58.44%
9,16,676,422,62.43%
9,17,695,462,66.47%
9,18,649,367,56.55%
9,19,700,455,65.00%
9,20,744,484,65.05%
9,21,694,441,63.54%
9,22,682,493,72.29%
9,23,729,509,69.82%
9,24,690,473,68.55%
9,25,698,481,68.91%
9,26,1015,679,66.90%
9,27,710,466,65.63%
9,28,687,367,53.42%
9,29,751,516,68.71%
9,30,665,420,63.16%
9,31,735,413,56.19%
9,32,698,473,67.77%
9,33,719,417,58.00%
9,34,763,454,59.50%
9,35,651,454,69.74%
9,36,715,443,61.96%
9,37,843,608,72.12%
9,38,739,495,66.98%
9,39,758,512,67.55%
9,40,773,493,63.78%
9,41,619,402,64.94%
9,42,698,466,66.76%
9,43,855,515,60.23%
9,44,597,402,67.34%
9,45,687,454,66.08%
9,46,786,523,66.54%
9,47,712,498,69.94%
9,48,726,507,69.83%
9,49,724,504,69.61%
9,50,811,587,72.38%
9,51,648,462,71.30%
9,Total,"37,328","24,377",65.30%
9,,,,
10,WARD 10,,,
10,Precinct,Register Voters,Ballots Cast,Turnout %
10,1,683,457,66.91%
10,2,700,456,65.14%
10,3,772,466,60.36%
10,4,814,470,57.74%
10,5,671,408,60.80%
10,6,677,428,63.22%
10,7,639,373,58.37%
10,8,651,411,63.13%
10,9,721,461,63.94%
10,10,731,502,68.67%
10,11,1012,608,60.08%
10,12,552,353,63.95%
10,13,895,549,61.34%
10,14,955,628,65.76%
10,15,1356,910,67.11%
10,16,678,392,57.82%
10,17,909,612,67.33%
10,18,645,345,53.49%
10,19,786,518,65.90%
10,20,792,507,64.02%
10,21,859,505,58.79%
10,22,566,312,55.12%
10,23,741,461,62.21%
10,24,715,499,69.79%
10,25,275,165,60.00%
10,26,818,414,50.61%
10,27,1045,545,52.15%
10,28,885,561,63.39%
10,29,759,466,61.40%
10,30,836,480,57.42%
10,31,739,386,52.23%
10,32,793,479,60.40%
10,33,624,365,58.49%
10,34,697,378,54.23%
10,35,776,517,66.62%
10,36,202,117,57.92%
10,Total,"26,969","16,504",61.20%
10,,,,
11,WARD 11,,,
11,Precinct,Register Voters,Ballots Cast,Turnout %
11,1,874,584,66.82%
11,2,1040,90,8.65%
11,3,717,519,72.38%
11,4,817,520,63.65%
11,5,1153,730,63.31%
11,6,1030,802,77.86%
11,7,1130,961,85.04%
11,8,882,540,61.22%
11,9,879,496,56.43%
11,10,945,530,56.08%
11,11,915,604,66.01%
11,12,1043,729,69.89%
11,13,1018,672,66.01%
11,14,587,364,62.01%
11,15,397,230,57.93%
11,16,735,440,59.86%
11,17,883,646,73.16%
11,18,813,477,58.67%
11,19,1040,714,68.65%
11,20,614,391,63.68%
11,21,914,677,74.07%
11,22,1075,699,65.02%
11,23,436,322,73.85%
11,24,781,602,77.08%
11,25,816,628,76.96%
11,26,894,634,70.92%
11,27,487,245,50.31%
11,28,474,271,57.17%
11,29,860,631,73.37%
11,30,642,333,51.87%
11,31,780,546,70.00%
11,32,377,278,73.74%
11,33,825,656,79.52%
11,34,312,229,73.40%
11,35,243,173,71.19%
11,36,468,267,57.05%
11,37,364,208,57.14%
11,38,422,274,64.93%
11,Total,"28,682","18,712",65.24%
11,,,,
12,WARD 12,,,
12,Precinct,Register Voters,Ballots Cast,Turnout %
12,1,745,516,69.26%
12,2,756,428,56.61%
12,3,880,626,71.14%
12,4,770,515,66.88%
12,5,795,461,57.99%
12,6,909,521,57.32%
12,7,919,518,56.37%
12,8,906,530,58.50%
12,9,728,447,61.40%
12,10,964,576,59.75%
12,11,868,527,60.71%
12,12,899,539,59.96%
12,13,923,545,59.05%
12,14,920,483,52.50%
12,15,887,493,55.58%
12,16,906,510,56.29%
12,17,954,575,60.27%
12,18,899,468,52.06%
12,19,822,507,61.68%
12,20,999,621,62.16%
12,21,858,549,63.99%
12,22,993,497,50.05%
12,23,803,520,64.76%
12,Total,"20,103","11,972",59.55%
12,,,,
13,WARD 13,,,
13,Precinct,Register Voters,Ballots Cast,Turnout %
13,1,472,366,77.54%
13,2,462,362,78.35%
13,3,501,358,71.46%
13,4,611,469,76.76%
13,5,696,513,73.71%
13,6,495,401,81.01%
13,7,520,364,70.00%
13,8,443,347,78.33%
13,9,631,453,71.79%
13,10,484,369,76.24%
13,11,583,445,76.33%
13,12,602,395,65.61%
13,13,527,416,78.94%
13,14,601,441,73.38%
13,15,858,651,75.87%
