precinct,election,turnout
101,2005,62
101,2013,62
101,2017,162
101,2002,185
101,2006,188
101,2014,211
101,2003,213
101,2007,133
101,2011,95
101,2015,168
101,2004,311
101,2008,327
101,2012,287
101,2016,386
101,2010,212
102,2005,75
102,2013,83
102,2017,195
102,2002,207
102,2006,268
102,2014,257
102,2003,249
102,2007,169
102,2011,118
102,2015,219
102,2004,381
102,2008,423
102,2012,419
102,2016,476
102,2010,232
103,2005,136
103,2013,106
103,2017,243
103,2002,294
103,2006,329
103,2014,350
103,2003,333
103,2007,210
103,2011,172
103,2015,306
103,2004,454
103,2008,457
103,2012,451
103,2016,546
103,2010,298
104,2005,86
104,2013,82
104,2017,197
104,2002,259
104,2006,256
104,2014,270
104,2003,309
104,2007,166
104,2011,149
104,2015,217
104,2004,383
104,2008,396
104,2012,407
104,2016,483
104,2010,277
105,2005,72
105,2013,58
105,2017,81
105,2002,165
105,2006,157
105,2014,126
105,2003,178
105,2007,97
105,2011,78
105,2015,95
105,2004,265
105,2008,234
105,2012,247
105,2016,240
105,2010,111
106,2005,54
106,2013,44
106,2017,119
106,2002,171
106,2006,149
106,2014,144
106,2003,163
106,2007,86
106,2011,51
106,2015,106
106,2004,286
106,2008,265
106,2012,243
106,2016,334
106,2010,141
107,2005,80
107,2013,29
107,2017,72
107,2002,150
107,2006,161
107,2014,108
107,2003,202
107,2007,109
107,2011,65
107,2015,85
107,2004,277
107,2008,290
107,2012,237
107,2016,274
107,2010,141
108,2005,50
108,2013,49
108,2017,141
108,2002,192
108,2006,186
108,2014,170
108,2003,205
108,2007,97
108,2011,79
108,2015,125
108,2004,314
108,2008,293
108,2012,278
108,2016,369
108,2010,170
109,2005,66
109,2013,88
109,2017,154
109,2002,254
109,2006,216
109,2014,223
109,2003,259
109,2007,127
109,2011,127
109,2015,179
109,2004,384
109,2008,349
109,2012,359
109,2016,422
109,2010,238
110,2005,95
110,2013,56
110,2017,203
110,2002,224
110,2006,236
110,2014,194
110,2003,222
110,2007,175
110,2011,102
110,2015,167
110,2004,334
110,2008,383
110,2012,333
110,2016,440
110,2010,210
111,2005,105
111,2013,97
111,2017,255
111,2002,281
111,2006,303
111,2014,339
111,2003,299
111,2007,204
111,2011,173
111,2015,274
111,2004,440
111,2008,456
111,2012,499
111,2016,546
111,2010,328
112,2005,74
112,2013,50
112,2017,109
112,2002,138
112,2006,145
112,2014,146
112,2003,151
112,2007,82
112,2011,60
112,2015,90
112,2004,245
112,2008,297
112,2012,283
112,2016,330
112,2010,153
113,2005,64
113,2013,51
113,2017,154
113,2002,172
113,2006,176
113,2014,175
113,2003,184
113,2007,112
113,2011,76
113,2015,131
113,2004,321
113,2008,376
113,2012,322
113,2016,397
113,2010,195
114,2005,56
114,2013,40
114,2017,154
114,2002,142
114,2006,180
114,2014,184
114,2003,168
114,2007,100
114,2011,75
114,2015,151
114,2004,280
114,2008,351
114,2012,371
114,2016,446
114,2010,188
115,2005,93
115,2013,94
115,2017,263
115,2002,273
115,2006,333
115,2014,304
115,2003,297
115,2007,219
115,2011,160
115,2015,255
115,2004,456
115,2008,534
115,2012,482
115,2016,614
115,2010,292
116,2005,68
116,2013,49
116,2017,125
116,2002,172
116,2006,174
116,2014,171
116,2003,179
116,2007,104
116,2011,84
116,2015,126
116,2004,257
116,2008,273
116,2012,265
116,2016,338
116,2010,164
117,2005,77
117,2013,81
117,2017,186
117,2002,198
117,2006,261
117,2014,247
117,2003,205
117,2007,152
117,2011,137
117,2015,216
117,2004,311
117,2008,359
117,2012,361
117,2016,449
117,2010,227
118,2005,134
118,2013,84
118,2017,181
118,2002,263
118,2006,316
118,2014,256
118,2003,295
118,2007,199
118,2011,143
118,2015,250
118,2004,420
118,2008,442
118,2012,416
118,2016,499
118,2010,237
119,2005,132
119,2013,91
119,2017,198
119,2002,273
119,2006,281
119,2014,262
119,2003,291
119,2007,200
119,2011,171
119,2015,258
119,2004,376
119,2008,384
119,2012,371
119,2016,403
119,2010,288
120,2005,120
120,2013,103
120,2017,253
120,2002,315
120,2006,337
120,2014,285
120,2003,332
120,2007,225
120,2011,163
120,2015,246
120,2004,450
120,2008,437
120,2012,404
120,2016,505
120,2010,288
121,2005,109
121,2013,79
121,2017,177
121,2002,287
121,2006,297
121,2014,246
121,2003,314
121,2007,200
121,2011,147
121,2015,249
121,2004,419
121,2008,436
121,2012,386
121,2016,455
121,2010,281
201,2005,127
201,2013,114
201,2017,269
201,2002,308
201,2006,382
201,2014,334
201,2003,354
201,2007,239
201,2011,170
201,2015,289
201,2004,499
201,2008,527
201,2012,511
201,2016,627
201,2010,351
202,2005,59
202,2013,54
202,2017,153
202,2002,185
202,2006,198
202,2014,184
202,2003,210
202,2007,134
202,2011,77
202,2015,152
202,2004,298
202,2008,313
202,2012,274
202,2016,355
202,2010,172
203,2005,61
203,2013,46
203,2017,143
203,2002,163
203,2006,172
203,2014,167
203,2003,190
203,2007,111
203,2011,77
203,2015,141
203,2004,305
203,2008,300
203,2012,292
203,2016,356
203,2010,155
204,2005,96
204,2013,52
204,2017,190
204,2002,259
204,2006,262
204,2014,209
204,2003,285
204,2007,156
204,2011,113
204,2015,162
204,2004,422
204,2008,406
204,2012,403
204,2016,446
204,2010,238
205,2005,85
205,2013,70
205,2017,174
205,2002,201
205,2006,245
205,2014,213
205,2003,238
205,2007,174
205,2011,103
205,2015,200
205,2004,382
205,2008,405
205,2012,387
205,2016,421
205,2010,238
206,2005,94
206,2013,73
206,2017,232
206,2002,245
206,2006,254
206,2014,275
206,2003,294
206,2007,158
206,2011,105
206,2015,228
206,2004,410
206,2008,400
206,2012,383
206,2016,503
206,2010,251
207,2005,90
207,2013,68
207,2017,245
207,2002,267
207,2006,283
207,2014,281
207,2003,285
207,2007,221
207,2011,111
207,2015,229
207,2004,424
207,2008,473
207,2012,474
207,2016,571
207,2010,289
208,2005,59
208,2013,57
208,2017,157
208,2002,149
208,2006,158
208,2014,200
208,2003,166
208,2007,93
208,2011,74
208,2015,133
208,2004,279
208,2008,283
208,2012,278
208,2016,403
208,2010,168
209,2005,52
209,2013,80
209,2017,198
209,2002,167
209,2006,215
209,2014,238
209,2003,197
209,2007,142
209,2011,99
209,2015,159
209,2004,329
209,2008,415
209,2012,418
209,2016,477
209,2010,266
210,2005,87
210,2013,44
210,2017,200
210,2002,256
210,2006,324
210,2014,250
210,2003,280
210,2007,175
210,2011,103
210,2015,191
210,2004,420
210,2008,452
210,2012,405
210,2016,506
210,2010,273
211,2005,88
211,2013,65
211,2017,213
211,2002,251
211,2006,277
211,2014,227
211,2003,274
211,2007,167
211,2011,103
211,2015,187
211,2004,399
211,2008,423
211,2012,400
211,2016,540
211,2010,257
212,2005,106
212,2013,69
212,2017,205
212,2002,278
212,2006,317
212,2014,275
212,2003,293
212,2007,207
212,2011,118
212,2015,196
212,2004,447
212,2008,467
212,2012,468
212,2016,541
212,2010,308
213,2005,27
213,2013,27
213,2017,55
213,2002,115
213,2006,99
213,2014,96
213,2003,130
213,2007,63
213,2011,49
213,2015,63
213,2004,175
213,2008,217
213,2012,218
213,2016,244
213,2010,120
214,2005,94
214,2013,110
214,2017,172
214,2002,276
214,2006,300
214,2014,311
214,2003,315
214,2007,198
214,2011,159
214,2015,213
214,2004,483
214,2008,521
214,2012,525
214,2016,540
214,2010,338
215,2005,88
215,2013,81
215,2017,271
215,2002,341
215,2006,397
215,2014,386
215,2003,388
215,2007,271
215,2011,155
215,2015,279
215,2004,594
215,2008,687
215,2012,692
215,2016,725
215,2010,450
216,2005,122
216,2013,117
216,2017,355
216,2002,376
216,2006,470
216,2014,427
216,2003,386
216,2007,298
216,2011,210
216,2015,327
216,2004,632
216,2008,695
216,2012,654
216,2016,718
216,2010,471
217,2005,84
217,2013,91
217,2017,217
217,2002,259
217,2006,333
217,2014,287
217,2003,290
217,2007,203
217,2011,127
217,2015,210
217,2004,458
217,2008,476
217,2012,477
217,2016,486
217,2010,338
218,2005,116
218,2013,74
218,2017,212
218,2002,257
218,2006,310
218,2014,246
218,2003,277
218,2007,220
218,2011,148
218,2015,205
218,2004,392
218,2008,433
218,2012,416
218,2016,467
218,2010,301
219,2005,83
219,2013,83
219,2017,186
219,2002,225
219,2006,264
219,2014,280
219,2003,241
219,2007,175
219,2011,123
219,2015,187
219,2004,369
219,2008,459
219,2012,432
219,2016,501
219,2010,281
220,2005,13
220,2013,30
220,2017,101
220,2002,25
220,2006,50
220,2014,151
220,2003,43
220,2007,33
220,2011,51
220,2015,96
220,2004,83
220,2008,151
220,2012,272
220,2016,349
220,2010,101
221,2005,52
221,2013,65
221,2017,134
221,2002,126
221,2006,175
221,2014,203
221,2003,176
221,2007,126
221,2011,94
221,2015,122
221,2004,300
221,2008,358
221,2012,376
221,2016,442
221,2010,187
222,2005,102
222,2013,120
222,2017,295
222,2002,305
222,2006,388
222,2014,377
222,2003,296
222,2007,264
222,2011,171
222,2015,251
222,2004,518
222,2008,612
222,2012,606
222,2016,620
222,2010,430
223,2005,97
223,2013,108
223,2017,290
223,2002,283
223,2006,369
223,2014,372
223,2003,317
223,2007,220
223,2011,153
223,2015,284
223,2004,519
223,2008,573
223,2012,555
223,2016,606
223,2010,399
224,2005,94
224,2013,112
224,2017,279
224,2002,245
224,2006,313
224,2014,326
224,2003,269
224,2007,227
224,2011,155
224,2015,235
224,2004,422
224,2008,492
224,2012,499
224,2016,558
224,2010,352
225,2005,77
225,2013,95
225,2017,229
225,2002,291
225,2006,324
225,2014,332
225,2003,286
225,2007,211
225,2011,159
225,2015,210
225,2004,508
225,2008,538
225,2012,540
225,2016,680
225,2010,383
226,2005,128
226,2013,124
226,2017,328
226,2002,455
226,2006,544
226,2014,455
226,2003,459
226,2007,312
226,2011,162
226,2015,309
226,2004,790
226,2008,810
226,2012,776
226,2016,878
226,2010,484
227,2005,118
227,2013,98
227,2017,285
227,2002,333
227,2006,420
227,2014,407
227,2003,383
227,2007,263
227,2011,180
227,2015,292
227,2004,554
227,2008,619
227,2012,685
227,2016,815
227,2010,416
301,2005,63
301,2013,62
301,2017,76
301,2002,220
301,2006,225
301,2014,223
301,2003,280
301,2007,166
301,2011,107
301,2015,113
301,2004,383
301,2008,440
301,2012,420
301,2016,388
301,2010,273
302,2005,63
302,2013,75
302,2017,87
302,2002,275
302,2006,267
302,2014,244
302,2003,299
302,2007,171
302,2011,83
302,2015,114
302,2004,465
302,2008,486
302,2012,469
302,2016,458
302,2010,261
303,2005,83
303,2013,93
303,2017,128
303,2002,321
303,2006,298
303,2014,297
303,2003,380
303,2007,200
303,2011,145
303,2015,158
303,2004,497
303,2008,484
303,2012,509
303,2016,484
303,2010,338
304,2005,67
304,2013,109
304,2017,144
304,2002,252
304,2006,285
304,2014,291
304,2003,345
304,2007,224
304,2011,192
304,2015,194
304,2004,480
304,2008,553
304,2012,563
304,2016,501
304,2010,360
305,2005,82
305,2013,47
305,2017,80
305,2002,237
305,2006,240
305,2014,201
305,2003,273
305,2007,181
305,2011,110
305,2015,115
305,2004,403
305,2008,423
305,2012,385
305,2016,373
305,2010,264
306,2005,79
306,2013,78
306,2017,103
306,2002,267
306,2006,292
306,2014,260
306,2003,313
306,2007,184
306,2011,113
306,2015,141
306,2004,426
306,2008,455
306,2012,428
306,2016,412
306,2010,276
307,2005,83
307,2013,83
307,2017,105
307,2002,267
307,2006,254
307,2014,227
307,2003,291
307,2007,174
307,2011,128
307,2015,126
307,2004,385
307,2008,428
307,2012,425
307,2016,390
307,2010,278
308,2005,88
308,2013,78
308,2017,112
308,2002,287
308,2006,293
308,2014,242
308,2003,280
308,2007,202
308,2011,137
308,2015,150
308,2004,415
308,2008,432
308,2012,441
308,2016,402
308,2010,312
309,2005,94
309,2013,124
309,2017,159
309,2002,335
309,2006,329
309,2014,315
309,2003,381
309,2007,224
309,2011,164
309,2015,173
309,2004,502
309,2008,481
309,2012,481
309,2016,472
309,2010,363
310,2005,78
310,2013,97
310,2017,110
310,2002,265
310,2006,256
310,2014,264
310,2003,299
310,2007,185
310,2011,112
310,2015,141
310,2004,414
310,2008,462
310,2012,449
310,2016,406
310,2010,308
311,2005,84
311,2013,114
311,2017,170
311,2002,317
311,2006,324
311,2014,307
311,2003,337
311,2007,223
311,2011,170
311,2015,187
311,2004,457
311,2008,481
311,2012,478
311,2016,424
311,2010,354
312,2005,88
312,2013,91
312,2017,111
312,2002,297
312,2006,297
312,2014,270
312,2003,329
312,2007,200
312,2011,135
312,2015,144
312,2004,449
312,2008,483
312,2012,442
312,2016,400
312,2010,297
313,2005,56
313,2013,66
313,2017,69
313,2002,260
313,2006,248
313,2014,225
313,2003,287
313,2007,177
313,2011,92
313,2015,120
313,2004,393
313,2008,433
313,2012,389
313,2016,363
313,2010,261
314,2005,53
314,2013,104
314,2017,135
314,2002,276
314,2006,302
314,2014,305
314,2003,334
314,2007,213
314,2011,150
314,2015,171
314,2004,454
314,2008,476
314,2012,512
314,2016,472
314,2010,333
315,2005,71
315,2013,86
315,2017,148
315,2002,286
315,2006,292
315,2014,271
315,2003,325
315,2007,189
315,2011,132
315,2015,167
315,2004,428
315,2008,460
315,2012,461
315,2016,419
315,2010,318
316,2005,89
316,2013,105
316,2017,145
316,2002,330
316,2006,327
316,2014,309
316,2003,349
316,2007,236
316,2011,174
316,2015,179
316,2004,478
316,2008,520
316,2012,519
316,2016,536
316,2010,368
317,2005,76
317,2013,99
317,2017,158
317,2002,289
317,2006,305
317,2014,312
317,2003,306
317,2007,230
317,2011,154
317,2015,192
317,2004,438
317,2008,488
317,2012,494
317,2016,463
317,2010,345
318,2005,81
318,2013,95
318,2017,127
318,2002,287
318,2006,300
318,2014,315
318,2003,322
318,2007,229
318,2011,146
318,2015,185
318,2004,434
318,2008,512
318,2012,501
318,2016,481
318,2010,356
319,2005,103
319,2013,120
319,2017,155
319,2002,341
319,2006,358
319,2014,353
319,2003,371
319,2007,261
319,2011,174
319,2015,199
319,2004,493
319,2008,519
319,2012,542
319,2016,490
319,2010,379
320,2005,47
320,2013,75
320,2017,104
320,2002,211
320,2006,211
320,2014,225
320,2003,258
320,2007,136
320,2011,92
320,2015,134
320,2004,374
320,2008,376
320,2012,379
320,2016,365
320,2010,243
321,2005,38
321,2013,42
321,2017,54
321,2002,168
321,2006,193
321,2014,186
321,2003,210
321,2007,123
321,2011,82
321,2015,77
321,2004,320
321,2008,354
321,2012,370
321,2016,334
321,2010,212
322,2005,45
322,2013,55
322,2017,106
322,2002,221
322,2006,220
322,2014,198
322,2003,272
322,2007,133
322,2011,91
322,2015,116
322,2004,376
322,2008,400
322,2012,416
322,2016,423
322,2010,245
401,2005,70
401,2013,78
401,2017,93
401,2002,232
401,2006,245
401,2014,253
401,2003,292
401,2007,157
401,2011,115
401,2015,135
401,2004,414
401,2008,412
401,2012,418
401,2016,419
401,2010,256
402,2005,83
402,2013,103
402,2017,139
402,2002,279
402,2006,317
402,2014,284
402,2003,352
402,2007,221
402,2011,156
402,2015,170
402,2004,525
402,2008,585
402,2012,583
402,2016,485
402,2010,372
403,2005,71
403,2013,59
403,2017,113
403,2002,292
403,2006,335
403,2014,291
403,2003,368
403,2007,233
403,2011,141
403,2015,163
403,2004,489
403,2008,545
403,2012,549
403,2016,493
403,2010,340
404,2005,54
404,2013,38
404,2017,59
404,2002,209
404,2006,205
404,2014,195
404,2003,261
404,2007,151
404,2011,99
404,2015,102
404,2004,342
404,2008,397
404,2012,417
404,2016,355
404,2010,237
405,2005,66
405,2013,73
405,2017,120
405,2002,288
405,2006,271
405,2014,263
405,2003,343
405,2007,195
405,2011,100
405,2015,142
405,2004,468
405,2008,483
405,2012,489
405,2016,443
405,2010,308
406,2005,66
406,2013,60
406,2017,113
406,2002,309
406,2006,273
406,2014,254
