ward,Precinct,Register Voters,Ballots Cast,Turnout %
1,1,689,122,17.71%
1,2,643,62,9.64%
1,3,450,50,11.11%
1,4,505,68,13.47%
1,5,636,56,8.81%
1,6,542,73,13.47%
1,7,668,34,5.09%
1,8,583,82,14.07%
1,9,509,105,20.63%
1,10,559,65,11.63%
1,11,523,53,10.13%
1,12,681,75,11.01%
1,13,818,172,21.03%
1,14,519,94,18.11%
1,15,549,77,14.03%
1,16,286,105,36.71%
1,17,432,31,7.18%
1,18,542,76,14.02%
1,19,423,63,14.89%
1,20,579,186,32.12%
1,21,801,77,9.61%
1,22,571,67,11.73%
1,23,537,72,13.41%
1,24,722,181,25.07%
1,25,503,59,11.73%
1,26,457,37,8.10%
1,27,528,41,7.77%
1,28,254,26,10.24%
1,29,606,78,12.87%
1,30,800,170,21.25%
1,31,739,55,7.44%
1,32,587,117,19.93%
1,33,614,85,13.84%
1,34,473,40,8.46%
1,35,484,48,9.92%
1,36,593,58,9.78%
1,37,856,86,10.05%
1,38,435,41,9.43%
1,39,636,80,12.58%
1,40,347,42,12.10%
1,41,545,59,10.83%
1,42,514,46,8.95%
1,43,552,98,17.75%
1,44,472,34,7.20%
1,45,642,87,13.55%
1,46,580,91,15.69%
1,47,545,66,12.11%
1,48,364,97,26.65%
1,Total,"26,893","3,687",13.71%
1,,,,
2,WARD 2,,,
2,Precinct,Register Voters,Ballots Cast,Turnout %
2,1,1268,155,12.22%
2,2,170,20,11.76%
2,3,803,110,13.70%
2,4,627,106,16.91%
2,5,624,113,18.11%
2,6,929,80,8.61%
2,7,532,190,35.71%
2,8,664,159,23.95%
2,9,519,104,20.04%
2,10,247,117,47.37%
2,11,663,189,28.51%
2,12,1122,90,8.02%
2,13,536,181,33.77%
2,14,415,185,44.58%
2,15,402,71,17.66%
2,16,1144,84,7.34%
2,17,536,99,18.47%
2,18,540,110,20.37%
2,19,919,142,15.45%
2,20,674,250,37.09%
2,21,504,207,41.07%
2,22,741,196,26.45%
2,23,406,91,22.41%
2,24,410,73,17.80%
2,25,842,120,14.25%
2,26,574,138,24.04%
2,27,493,124,25.15%
2,28,980,55,5.61%
2,29,340,82,24.12%
2,30,805,111,13.79%
2,31,438,136,31.05%
2,32,400,43,10.75%
2,33,566,57,10.07%
2,34,374,159,42.51%
2,35,731,103,14.09%
2,36,853,180,21.10%
2,37,445,95,21.35%
2,38,961,178,18.52%
2,39,673,103,15.30%
2,40,1394,209,14.99%
2,41,410,49,11.95%
2,42,259,148,57.14%
2,43,595,166,27.90%
2,44,384,111,28.91%
2,45,683,129,18.89%
2,46,571,205,35.90%
2,47,772,183,23.70%
2,48,440,126,28.64%
2,49,670,94,14.03%
2,50,410,68,16.59%
2,51,451,76,16.85%
2,52,818,170,20.78%
2,53,667,66,9.90%
2,54,416,42,10.10%
2,Total,"33,810","6,648",19.66%
2,,,,
3,WARD 3,,,
3,Precinct,Register Voters,Ballots Cast,Turnout %
3,1,532,150,28.20%
3,2,489,220,44.99%
3,3,632,120,18.99%
3,4,342,96,28.07%
3,5,483,140,28.99%
3,6,57,19,33.33%
3,7,488,232,47.54%
3,8,470,97,20.64%
3,9,462,133,28.79%
3,10,250,37,14.80%
3,11,463,114,24.62%
3,12,516,94,18.22%
3,13,429,39,9.09%
