ward,Precinct,Register Voters,Ballots Cast,Turnout %
1,1,862,594,68.91%
1,2,811,482,59.43%
1,3,881,658,74.69%
1,4,920,639,69.46%
1,5,826,663,80.27%
1,6,836,566,67.70%
1,7,577,415,71.92%
1,8,751,535,71.24%
1,9,631,486,77.02%
1,10,1018,751,73.77%
1,11,853,678,79.48%
1,12,1004,675,67.23%
1,13,388,263,67.78%
1,14,721,550,76.28%
1,15,776,520,67.01%
1,16,931,677,72.72%
1,17,754,491,65.12%
1,18,840,546,65.00%
1,19,896,659,73.55%
1,20,651,452,69.43%
1,21,1009,785,77.80%
1,22,557,374,67.15%
1,23,1004,780,77.69%
1,24,914,500,54.70%
1,25,847,569,67.18%
1,26,713,354,49.65%
1,27,888,616,69.37%
1,28,314,167,53.18%
1,29,879,686,78.04%
1,30,927,612,66.02%
1,31,864,552,63.89%
1,32,795,562,70.69%
1,33,949,666,70.18%
1,34,663,455,68.63%
1,35,1032,707,68.51%
1,36,842,603,71.62%
1,37,846,593,70.09%
1,38,767,554,72.23%
1,39,755,510,67.55%
1,40,825,586,71.03%
1,41,475,337,70.95%
1,42,270,183,67.78%
1,43,556,356,64.03%
1,44,650,511,78.62%
1,Total,"34,268","23,918",69.80%
1,,,,
2,WARD 2,,,
2,Precinct,Register Voters,Ballots Cast,Turnout %
2,1,906,658,72.63%
2,2,595,470,78.99%
2,3,900,680,75.56%
2,4,746,528,70.78%
2,5,935,706,75.51%
2,6,769,565,73.47%
2,7,1477,569,38.52%
2,8,1020,695,68.14%
2,9,722,550,76.18%
2,10,643,518,80.56%
2,11,801,645,80.52%
2,12,755,559,74.04%
2,13,672,522,77.68%
2,14,831,619,74.49%
2,15,819,574,70.09%
2,16,790,527,66.71%
2,17,915,686,74.97%
2,18,747,577,77.24%
2,19,577,457,79.20%
2,20,993,675,67.98%
2,21,840,614,73.10%
2,22,830,640,77.11%
2,23,527,426,80.83%
2,24,704,558,79.26%
2,25,830,627,75.54%
2,26,804,543,67.54%
2,27,699,553,79.11%
2,28,839,668,79.62%
2,29,874,668,76.43%
2,30,681,495,72.69%
2,31,927,693,74.76%
2,32,623,467,74.96%
2,33,1056,880,83.33%
2,34,594,482,81.14%
2,35,1038,764,73.60%
2,36,792,661,83.46%
2,37,660,542,82.12%
2,38,700,556,79.43%
2,39,634,427,67.35%
2,40,1067,811,76.01%
2,41,932,602,64.59%
2,42,770,665,86.36%
2,43,1010,802,79.41%
2,44,458,369,80.57%
2,45,912,689,75.55%
2,46,478,333,69.67%
2,Total,"36,892","27,315",74.04%
2,,,,
3,WARD 3,,,
3,Precinct,Register Voters,Ballots Cast,Turnout %
3,1,1153,669,58.02%
3,2,729,622,85.32%
3,3,836,484,57.89%
3,4,809,553,68.36%
3,5,655,318,48.55%
3,6,962,749,77.86%
3,7,518,353,68.15%
3,8,777,431,55.47%
3,9,793,533,67.21%
3,10,546,238,43.59%
3,11,737,531,72.05%
3,12,636,525,82.55%
3,13,828,634,76.57%
3,14,847,613,72.37%
3,15,788,483,61.29%
3,16,782,452,57.80%
3,17,1035,758,73.24%
3,18,1357,768,56.60%
3,19,861,652,75.73%
3,20,828,535,64.61%
3,21,854,633,74.12%
3,22,1067,756,70.85%
3,23,834,460,55.16%
3,24,771,436,56.55%
3,25,1337,968,72.40%
3,26,836,638,76.32%
3,27,1042,722,69.29%
3,28,562,350,62.28%
3,29,1057,525,49.67%
3,30,740,450,60.81%
3,31,893,570,63.83%
3,32,894,684,76.51%
3,33,921,684,74.27%
3,34,1017,717,70.50%
3,35,826,248,30.02%
3,36,614,282,45.93%
3,37,745,463,62.15%
3,38,583,423,72.56%
3,39,1292,909,70.36%
3,40,891,576,64.65%
3,41,780,376,48.21%
3,Total,"35,033","22,771",65.00%
3,,,,
4,WARD 4,,,
4,Precinct,Register Voters,Ballots Cast,Turnout %
4,1,996,813,81.63%
4,2,906,721,79.58%
4,3,733,439,59.89%
4,4,1038,727,70.04%
4,5,735,528,71.84%
4,6,895,646,72.18%
4,7,951,637,66.98%
4,8,839,576,68.65%
4,9,800,611,76.38%
4,10,884,665,75.23%
4,11,880,561,63.75%
4,12,931,610,65.52%
4,13,895,686,76.65%
4,14,816,562,68.87%
4,15,901,669,74.25%
4,16,1308,948,72.48%
4,17,899,726,80.76%
4,18,819,529,64.59%
4,19,829,421,50.78%
4,20,704,534,75.85%
4,21,850,785,92.35%
4,22,768,567,73.83%
4,23,904,739,81.75%
4,24,744,522,70.16%
4,25,805,650,80.75%
4,26,768,524,68.23%
4,27,960,723,75.31%
4,28,653,458,70.14%
4,29,803,460,57.29%
4,30,1172,734,62.63%
4,31,609,565,92.78%
4,32,888,600,67.57%
4,33,798,559,70.05%
4,34,749,472,63.02%
4,35,973,630,64.75%
4,36,892,616,69.06%
4,37,1420,1038,73.10%
4,38,776,577,74.36%
4,Total,"33,291","23,828",71.57%
4,,,,
5,WARD 5,,,
5,Precinct,Register Voters,Ballots Cast,Turnout %
5,1,748,417,55.75%
5,2,656,346,52.74%
5,3,720,596,82.78%
5,4,828,713,86.11%
5,5,711,473,66.53%
5,6,662,406,61.33%
5,7,638,552,86.52%
5,8,677,565,83.46%
5,9,745,632,84.83%
5,10,730,395,54.11%
5,11,672,565,84.08%
5,12,625,344,55.04%
5,13,734,425,57.90%
5,14,580,403,69.48%
5,15,628,495,78.82%
5,16,794,478,60.20%
5,17,773,432,55.89%
5,18,613,508,82.87%
5,19,659,504,76.48%
5,20,754,604,80.11%
5,21,644,586,90.99%
5,22,709,597,84.20%
5,23,1173,921,78.52%
5,24,735,590,80.27%
5,25,679,462,68.04%
5,26,814,501,61.55%
5,27,810,643,79.38%
5,28,779,543,69.70%
5,29,762,521,68.37%
5,30,632,345,54.59%
5,31,699,392,56.08%
5,32,727,623,85.69%
5,33,802,561,69.95%
5,34,697,629,90.24%
5,35,746,647,86.73%
5,36,602,306,50.83%
5,37,713,586,82.19%
5,38,756,449,59.39%
5,39,556,440,79.14%
5,40,593,354,59.70%
5,41,341,297,87.10%
5,Total,"28,916","20,846",72.09%
5,,,,
