ward,Precinct,Register Voters,Ballots Cast,Turnout %
1,1,753,259,34.40%
1,2,706,254,35.98%
1,3,811,269,33.17%
1,4,790,277,35.06%
1,5,784,217,27.68%
1,6,748,290,38.77%
1,7,462,186,40.26%
1,8,716,270,37.71%
1,9,543,264,48.62%
1,10,797,226,28.36%
1,11,755,253,33.51%
1,12,877,300,34.21%
1,13,346,121,34.97%
1,14,713,270,37.87%
1,15,685,256,37.37%
1,16,546,228,41.76%
1,17,676,251,37.13%
1,18,779,290,37.23%
1,19,911,388,42.59%
1,20,638,238,37.30%
1,21,783,232,29.63%
1,22,513,168,32.75%
1,23,962,395,41.06%
1,24,725,200,27.59%
1,25,730,202,27.67%
1,26,644,198,30.75%
1,27,765,247,32.29%
1,28,330,133,40.30%
1,29,684,257,37.57%
1,30,828,311,37.56%
1,31,764,279,36.52%
1,32,686,264,38.48%
1,33,820,282,34.39%
1,34,609,235,38.59%
1,35,797,299,37.52%
1,36,708,232,32.77%
1,37,697,241,34.58%
1,38,676,271,40.09%
1,39,694,236,34.01%
1,40,719,282,39.22%
1,41,444,192,43.24%
1,42,228,91,39.91%
1,43,507,183,36.09%
1,44,558,196,35.13%
1,Total,"29,907","10,733",35.89%
1,,,,
2,WARD 2,,,
2,Precinct,Register Voters,Ballots Cast,Turnout %
2,1,798,251,31.45%
2,2,568,346,60.92%
2,3,764,278,36.39%
2,4,726,269,37.05%
2,5,824,313,37.99%
2,6,782,271,34.65%
2,7,951,283,29.76%
2,8,816,289,35.42%
2,9,700,273,39.00%
2,10,686,371,54.08%
2,11,637,377,59.18%
2,12,725,337,46.48%
2,13,648,399,61.57%
2,14,754,343,45.49%
2,15,715,277,38.74%
2,16,722,219,30.33%
2,17,860,353,41.05%
2,18,606,291,48.02%
2,19,547,305,55.76%
2,20,874,274,31.35%
2,21,745,316,42.42%
2,22,749,383,51.13%
2,23,543,337,62.06%
2,24,708,296,41.81%
2,25,745,268,35.97%
2,26,731,246,33.65%
2,27,653,301,46.09%
2,28,811,348,42.91%
2,29,789,293,37.14%
2,30,657,293,44.60%
2,31,954,486,50.94%
2,32,632,235,37.18%
2,33,952,532,55.88%
2,34,574,343,59.76%
2,35,913,282,30.89%
2,36,573,280,48.87%
2,37,626,364,58.15%
2,38,683,376,55.05%
2,39,579,253,43.70%
2,40,775,253,32.65%
2,41,755,210,27.81%
2,42,745,283,37.99%
2,43,805,357,44.35%
2,44,430,233,54.19%
2,45,774,343,44.32%
2,46,462,187,40.48%
2,Total,"33,066","14,217",43.00%
2,,,,
3,WARD 3,,,
3,Precinct,Register Voters,Ballots Cast,Turnout %
3,1,1061,347,32.70%
3,2,772,448,58.03%
3,3,809,343,42.40%
3,4,806,351,43.55%
3,5,711,223,31.36%
3,6,820,346,42.20%
3,7,625,279,44.64%
3,8,811,229,28.24%
3,9,743,304,40.92%
3,10,657,158,24.05%
3,11,789,305,38.66%
3,12,733,366,49.93%
3,13,792,369,46.59%
