"","row_number","precinct","obs","log_obs","precinct_num","minute","ward"
"1",1,"3639",51.8455389814717,3.94826889397263,862,398,"36"
"2",2,"3501",60.3081264056714,4.09946686091619,792,431,"35"
"3",3,"1107",24.4264837592789,3.19566794364894,249,134,"11"
"4",4,"1710",37.938250063393,3.63595983965275,369,135,"17"
"5",5,"4110",12.9392180174535,2.56026285582889,1013,128,"41"
"6",6,"4027",24.9550814840423,3.21707746815536,979,466,"40"
"7",7,"2142",59.069194885881,4.07870955139523,478,386,"21"
"8",8,"2417",13.8775169860422,2.63027004758015,550,376,"24"
"9",9,"4821",48.0033903547622,3.87127164080442,1181,243,"48"
"10",10,"0314",64.4421503043738,4.16576792684536,62,332,"03"
"11",11,"6637",19.2680097183924,2.95844619314777,1683,330,"66"
"12",12,"6006",6.29911628721921,1.8404093516885,1509,54,"60"
"13",13,"4304",13.2522688188901,2.58416876938812,1058,290,"43"
"14",14,"1901",9.08389072940503,2.20650259526355,407,142,"19"
"15",15,"5510",21.6316880321498,3.07415927816585,1346,380,"55"
"16",16,"2708",1.76662197352652,0.569069233566111,607,120,"27"
"17",17,"6401",15.0815727915131,2.71347365366074,1606,92,"64"
"18",18,"0525",15.1236298264352,2.71625840982563,116,290,"05"
"19",19,"1517",84.4824435112953,4.43654374367904,339,338,"15"
"20",20,"4415",5.70938407587861,1.74211115022783,1094,52,"44"
"21",21,"3310",10.8902475070976,2.38786766461107,735,311,"33"
"22",22,"5713",37.1132917115169,3.61397517260783,1419,171,"57"
"23",23,"5421",23.557915531331,3.15946187996819,1335,366,"54"
"24",24,"3016",8.16243458814685,2.09954248086714,674,51,"30"
"25",25,"0520",40.54601087194,3.70243740018438,111,282,"05"
"26",26,"2712",37.6058129300723,3.62715863765067,611,396,"27"
"27",27,"3324",3.87860705100848,1.35547608170453,749,124,"33"
"28",28,"0313",11.0617111004119,2.40348969483404,61,77,"03"
"29",29,"3012",29.7910535300305,3.39420813132411,670,326,"30"
"30",30,"3816",42.9350440948605,3.75968837113826,901,248,"38"
"31",31,"5627",24.2404663115447,3.18802339829103,1392,266,"56"
"32",32,"3220",6.60764781490921,1.88822773802311,714,66,"32"
"33",33,"5726",9.24085746348146,2.22363468042611,1432,81,"57"
"34",34,"1610",12.7895257053372,2.54862653166134,351,158,"16"
"35",35,"4319",0.739779576387124,-0.301403006903056,1073,8,"43"
"36",36,"4814",20.9910968105743,3.04409838642515,1174,217,"48"
"37",37,"2507",57.2268708730035,4.04702355858519,559,444,"25"
"38",38,"5637",1.76254625789664,0.566759500974991,1402,26,"56"
"39",39,"4306",22.6420319293967,3.11980799883939,1060,447,"43"
"40",40,"6509",66.2526549309688,4.19347553849309,1632,416,"65"
"41",41,"3302",13.6620083552731,2.61461886787974,727,148,"33"
"42",42,"2809",35.4762453149735,3.56886332644614,631,219,"28"
"43",43,"0829",210.865212746454,5.35121912720554,195,356,"08"
"44",44,"0508",86.5967792113407,4.46126262332181,99,214,"05"
"45",45,"4202",3.88772470840081,1.3578240786389,1031,69,"42"
"46",46,"3633",32.8376823403517,3.49157670780482,856,199,"36"
"47",47,"3516",19.2432201692511,2.95715879969721,807,434,"35"
"48",48,"3114",7.61045063349202,2.02952238608518,689,59,"31"
"49",49,"5808",40.0689942780832,3.69060282520861,1442,231,"58"
"50",50,"5808",42.8728038377603,3.75823768173128,1442,354,"58"
"51",51,"3902",31.4140933006753,3.4472566234513,908,356,"39"
"52",52,"1616",0.699839005585528,-0.356904962411627,357,22,"16"
"53",53,"6405",30.3354661982931,3.41231752960625,1610,267,"64"
"54",54,"1810",38.614152347724,3.65361885040709,398,272,"18"
"55",55,"5411",27.7316605103831,3.32257473920462,1325,457,"54"
"56",56,"1711",17.3933820469145,2.85608979174072,370,99,"17"
"57",57,"1618",42.9698336921781,3.76049832745542,359,334,"16"
"58",58,"1511",39.4350577528417,3.67465521135609,333,387,"15"
"59",59,"5018",45.8614569758934,3.82562504700564,1223,245,"50"
"60",60,"3610",13.4039768397015,2.59555144200886,833,83,"36"
"61",61,"1403",56.6934640664666,4.037658931893,314,336,"14"
"62",62,"1410",32.7301287984821,3.48829602368659,321,195,"14"
"63",63,"3622",0.78554799445593,-0.241373722636242,845,11,"36"
"64",64,"6520",29.9058407611338,3.39805380450138,1643,80,"65"
"65",65,"5115",49.0907894942639,3.89367143052902,1250,341,"51"
"66",66,"3720",4.95667561468934,1.60073527705236,884,108,"37"
"67",67,"4023",18.6683987391394,2.9268321873591,975,384,"40"
"68",68,"3801",27.3081143489385,3.307183886926,886,346,"38"
"69",69,"5622",116.687413615658,4.75949868099665,1387,462,"56"
"70",70,"3933",32.3894280479275,3.47783207473549,939,317,"39"
"71",71,"4913",37.7554598249503,3.63113009636147,1196,416,"49"
"72",72,"5805",18.0747590229572,2.89451643589273,1439,89,"58"
"73",73,"3804",33.8211633117373,3.52108674003254,889,320,"38"
"74",74,"4513",0.448376234694065,-0.802122589424946,1111,3,"45"
"75",75,"5110",40.6011034875881,3.70379524573558,1245,440,"51"
"76",76,"5310",12.8025324363986,2.54964299795015,1301,246,"53"
"77",77,"4306",19.1734495602898,2.95352648663294,1060,390,"43"
"78",78,"6605",51.5247452718168,3.94206218298588,1651,401,"66"
"79",79,"3819",11.2306416899219,2.41864590780549,904,127,"38"
"80",80,"0808",118.921176700293,4.77846089297072,174,369,"08"
"81",81,"0411",13.2371979745689,2.58303089477065,81,75,"04"
"82",82,"5121",18.7286960901206,2.93005689791526,1256,333,"51"
"83",83,"5726",50.698455823265,3.9258954529985,1432,461,"57"
"84",84,"5213",101.656528856597,4.62159976680269,1276,430,"52"
"85",85,"0719",10.053376376607,2.30790853595522,162,364,"07"
"86",86,"2617",24.6640342125991,3.20534607773011,593,236,"26"
"87",87,"2623",37.871518174215,3.6341993302101,599,342,"26"
"88",88,"0824",58.4495838060506,4.06816456738033,190,165,"08"
"89",89,"0818",89.6817070119759,4.49626681306063,184,217,"08"
"90",90,"5605",18.2423282181489,2.9037446200393,1370,143,"56"
"91",91,"3526",7.53373674307694,2.01939116614235,817,182,"35"
"92",92,"2712",3.34485966168106,1.20742473804568,611,45,"27"
"93",93,"2721",2.92779230146128,1.07424865828976,620,142,"27"
"94",94,"6623",47.9333737988243,3.86981200082205,1669,363,"66"
"95",95,"5422",13.800268706079,2.6246880634286,1336,160,"54"
"96",96,"3225",21.5441781959218,3.07010562673028,719,148,"32"
"97",97,"1708",1.10022399933996,0.0955137948369816,367,5,"17"
"98",98,"6211",4.29646716856596,1.45779309630495,1565,54,"62"
"99",99,"6627",22.8964170540012,3.130980437795,1673,143,"66"
"100",100,"3921",153.045347442125,5.03073426598866,927,460,"39"
"101",101,"6011",38.8104992158779,3.65869080837147,1514,319,"60"
"102",102,"1104",18.7617945834534,2.93182259910174,246,378,"11"
"103",103,"1909",7.22702950230443,1.97782809452642,415,91,"19"
"104",104,"2004",28.9637443406194,3.3660448526895,429,228,"20"
"105",105,"5216",70.2559815802478,4.25214545163884,1279,292,"52"
"106",106,"5303",20.7068756231181,3.03046580082602,1294,195,"53"
"107",107,"1901",0.911603278321868,-0.0925503853886101,407,28,"19"
"108",108,"5004",105.980590231351,4.66325596632021,1209,387,"50"
"109",109,"6112",16.9235237110739,2.82870458965123,1538,273,"61"
"110",110,"3421",24.0549402084224,3.18034038952881,770,124,"34"
"111",111,"1218",39.6587401568034,3.6803113564954,280,249,"12"
"112",112,"6223",1.0896130849547,0.0858226652935595,1577,26,"62"
"113",113,"3513",25.1000739326417,3.22287079165697,804,199,"35"
"114",114,"3715",19.5790869168882,2.97446200255678,879,420,"37"
"115",115,"4821",10.0209016597811,2.30467307761432,1181,55,"48"
"116",116,"4040",41.9040034736267,3.73538137066022,992,134,"40"
"117",117,"4025",19.6785411913803,2.97952876242235,977,187,"40"
"118",118,"5902",8.14228503336807,2.09707085725089,1480,55,"59"
"119",119,"4614",22.3522038148777,3.10692492089097,1137,146,"46"
"120",120,"3311",16.452626386886,2.80048512324454,736,237,"33"
"121",121,"1601",24.8816201859953,3.21412938576665,342,255,"16"
"122",122,"2316",8.79553499498804,2.17424420578668,526,78,"23"
"123",123,"5834",33.8374274465021,3.52156751076382,1468,205,"58"
"124",124,"6411",53.4814140754682,3.9793341930859,1616,455,"64"
"125",125,"0221",30.4812505134919,3.41711175732238,42,319,"02"
"126",126,"1120",57.8277502413843,4.0574687684458,262,375,"11"
"127",127,"1101",32.5447902621872,3.48261730245564,243,429,"11"
"128",128,"1609",24.5094964095355,3.19906065100236,350,355,"16"
"129",129,"2415",17.1489243596771,2.84193545209264,548,334,"24"
"130",130,"4011",17.0854383976152,2.83822654503408,963,181,"40"
"131",131,"1323",25.5937654097295,3.24234878314272,309,232,"13"
"132",132,"4622",89.4533420048334,4.49371717096539,1145,400,"46"
"133",133,"2109",50.3528432969375,3.9190550882144,445,383,"21"
"134",134,"5908",28.4988619252905,3.34986415403134,1486,118,"59"
"135",135,"4122",21.4892416313209,3.06755242065625,1025,284,"41"
"136",136,"5406",13.396181234707,2.59496968385709,1320,330,"54"
"137",137,"2711",12.26486105677,2.50673834921335,610,436,"27"
"138",138,"6201",19.4735480354445,2.96905703367291,1555,344,"62"
"139",139,"5522",35.8514473698112,3.57938393916821,1358,328,"55"
"140",140,"3221",45.5965489754373,3.81983203329322,715,235,"32"
"141",141,"6410",13.1177725193298,2.57396799161201,1615,125,"64"
"142",142,"4045",68.9085470947143,4.2327802210475,997,356,"40"
"143",143,"0616",11.3103880843302,2.42572160291955,141,85,"06"
"144",144,"3202",16.379108103505,2.79600662660698,696,354,"32"
"145",145,"2123",68.0945221385084,4.22089677142538,459,293,"21"
"146",146,"5916",34.7352963662786,3.54775635631742,1494,308,"59"
"147",147,"5841",146.470818183815,4.98682621533097,1475,406,"58"
"148",148,"4109",20.8585830163318,3.03776551899751,1012,421,"41"
"149",149,"4621",16.9158263021607,2.82824965130029,1144,109,"46"
"150",150,"5623",29.9952201666617,3.40103804119019,1388,207,"56"
"151",151,"1025",42.6394552033625,3.75278000311936,238,307,"10"
"152",152,"6019",37.285437269633,3.61860282868971,1522,306,"60"
"153",153,"5108",29.1411580158673,3.37215153971209,1243,376,"51"
"154",154,"3710",47.1408457400719,3.8531398383753,874,434,"37"
"155",155,"6016",33.9072527284219,3.52362893629469,1519,273,"60"
"156",156,"1911",13.096779180102,2.57236633586322,417,166,"19"
"157",157,"4819",20.7626398018073,3.03315520829699,1179,380,"48"
"158",158,"4044",26.25043816909,3.26768268105413,996,122,"40"
"159",159,"2720",5.60852252728501,1.72428732072787,619,210,"27"
"160",160,"3902",29.8595268863071,3.39650394758857,908,351,"39"
"161",161,"4401",1.80732291180282,0.591846696144685,1080,24,"44"
"162",162,"6516",52.6403029191833,3.96348204154426,1639,438,"65"
"163",163,"3820",8.90278469130239,2.18636411446246,905,87,"38"
"164",164,"3715",10.4806423225196,2.34952996733147,879,197,"37"
