"Timestamp","Ward (1 - 66)","Division (1 - 51)","Time of day","Voter number within your division (how many people voted before you, plus you)"
"10/23/2019 8:21:07","27","14",07:05:00,5
"11/1/2019 20:10:06","27","12",14:00:00,75
"11/1/2019 20:10:28","27","12",14:00:00,75
"11/5/2019 7:10:48","18","5",07:08:00,1
"11/5/2019 7:12:06","46","7",07:00:00,1
"11/5/2019 7:12:57","31","10",07:07:00,2
"11/5/2019 7:15:27","36","37",07:15:00,10
"11/5/2019 7:16:06","18","6",07:10:00,5
"11/5/2019 7:16:17","36","38",07:15:00,2
"11/5/2019 7:16:23","63","18",07:15:00,8
"11/5/2019 7:16:46","46","1",07:08:00,5
"11/5/2019 7:16:55","15","15",07:14:00,2
"11/5/2019 7:18:16","21","36",07:00:00,1
"11/5/2019 7:20:12","18","06",07:05:00,4
"11/5/2019 7:20:30","27","14",07:10:00,5
"11/5/2019 7:20:40","5","4",07:17:00,9
"11/5/2019 7:21:11","46","22",07:10:00,1
"11/5/2019 7:21:21","2","27",07:20:00,14
"11/5/2019 7:23:03","8","25",07:15:00,7
"11/5/2019 7:23:07","15","7",07:13:00,5
"11/5/2019 7:23:58","45","4",07:15:00,8
"11/5/2019 7:25:01","30","05",07:25:00,16
"11/5/2019 7:28:30","51","2",07:13:00,4
"11/5/2019 7:38:50","5","25",07:30:00,18
"11/5/2019 7:38:25","5","32",07:30:00,7
"11/5/2019 7:42:16","39","37",07:41:00,14
"11/5/2019 7:46:37","30","1",07:05:00,14
"11/5/2019 7:47:50","65","23",07:00:00,3
"11/5/2019 7:48:37","34","30",07:45:00,17
"11/5/2019 7:52:41","32","21",07:07:00,2
"11/5/2019 7:52:52","09","13",07:00:00,7
"11/5/2019 7:53:22","2","10",07:15:00,12
"11/5/2019 7:53:27","9","5",07:45:00,27
"11/5/2019 7:54:46","5","1",07:54:00,21
"11/5/2019 7:54:53","2","9",07:27:00,9
"11/5/2019 7:55:35","5","37",07:55:00,21
"11/5/2019 7:55:57","21","40",07:45:00,15
