"timestamp","row_number","ward","div","precinct","obs","log_obs","precinct_num","minute"
2020-06-02 11:29:57,1,"15","08","1508",2,0.693147180559945,340,35
2020-06-02 11:55:36,2,"18","10","1810",292,5.67675380226828,408,295
2020-06-02 12:04:42,3,"36","41","3641",213,5.36129216570943,875,180
2020-06-02 12:25:38,4,"01","21","0121",213,5.36129216570943,21,240
2020-06-02 14:54:20,5,"09","14","0914",442,6.0913098820777,220,450
2020-06-02 15:42:53,6,"05","21","0521",28,3.3322045101752,114,465
2020-06-02 16:03:30,7,"09","01","0901",1,0,207,480
2020-06-02 16:41:48,8,"47","02","4702",94,4.54329478227,1159,455
2020-06-02 17:49:00,9,"55","10","5510",95,4.55387689160054,1357,480
2020-06-02 17:49:40,10,"27","13","2713",95,4.55387689160054,623,635
2020-06-02 17:53:05,11,"55","10","5510",140,4.9416424226093,1357,645
2020-06-02 17:54:09,12,"32","21","3221",85,4.44265125649032,726,255
