"timestamp","ward","div","time_of_day","obs","vote_method"
"11/2/2020 20:02:04","36","41",07:00:00,"5","by mail"
"11/2/2020 21:06:00","8","16",15:00:00,"1","by mail"
"11/2/2020 21:11:51","12","16",09:12:00,"17","by mail"
"11/2/2020 21:53:31","21","1",18:00:00,"6","by mail"
"11/2/2020 22:03:07","39","22",07:00:00,"69","by mail"
"11/2/2020 23:02:40","5","4",01:00:00,"1","by mail"
"11/3/2020 0:47:42","30","17",07:00:00,"808","by mail"
"11/3/2020 6:34:36","07","13",10:00:00,"8","by mail"
"11/3/2020 6:48:22","1","16",12:00:00,"13","by mail"
"11/3/2020 6:55:06","60","13",15:00:00,"9","by mail"
"11/3/2020 7:06:19","46","3",11:00:00,"21","by mail"
"11/3/2020 7:09:29","48","16",07:15:00,"1","by mail"
"11/3/2020 7:20:02","39","28",16:00:00,"9","by mail"
"11/3/2020 7:36:56","5","4",00:00:00,"50","by mail"
"11/3/2020 7:38:19","51","7",07:10:00,"2","in person"
"11/3/2020 7:40:26","18","6",08:00:00,"42","by mail"
"11/3/2020 7:42:10","5","37",07:41:00,"24","in person"
"11/3/2020 7:42:51","5","1",07:42:00,"14","in person"
"11/3/2020 7:43:44","8","28",07:43:00,"33","in person"
"11/3/2020 7:44:10","39","2",11:25:00,"42","by mail"
"11/3/2020 7:45:12","39","2",11:30:00,"46","by mail"
"11/3/2020 7:45:19","27","14",07:03:00,"2","in person"
"11/3/2020 7:45:57","30","6",07:30:00,"11","by mail"
"11/3/2020 7:46:38","36","29",07:07:00,"7","by mail"
"11/3/2020 7:46:53","30","6",07:32:00,"8","by mail"
"11/3/2020 7:47:44","30","6",07:37:00,"9","by mail"
"11/3/2020 7:48:19","15","8",07:40:00,"38","in person"
"11/3/2020 7:48:52","15","3",07:48:00,"38","in person"
"11/3/2020 7:49:03","15","3",07:48:00,"38","in person"
"11/3/2020 7:49:58","31","10",02:28:00,"72","by mail"
"11/3/2020 7:50:28","39","17",15:00:00,"9","by mail"
"11/3/2020 7:52:03","30","2",07:48:00,"15","by mail"
"11/3/2020 7:54:12","39","37",07:07:00,"0","by mail"
"11/3/2020 7:54:20","31","1",10:00:00,"23","by mail"
"11/3/2020 7:56:19","1","8",15:30:00,"45","by mail"
"11/3/2020 7:58:38","27","15",17:15:00,"1","by mail"
"11/3/2020 8:01:55","8","24",09:00:00,"7","by mail"
"11/3/2020 8:02:09","36","39",08:00:00,"8","by mail"
"11/3/2020 8:05:39","2","14",07:25:00,"16","in person"
"11/3/2020 8:06:14","36","36",07:56:00,"33","in person"
"11/3/2020 8:08:28","66","02",08:21:00,"12345","by mail"
"11/3/2020 8:12:07","2","18",07:13:00,"9","in person"
"11/3/2020 8:17:03","46","03",08:07:00,"27","in person"
"11/3/2020 8:18:09","2","18",08:16:00,"60","in person"
"11/3/2020 8:19:02","2","22",08:18:00,"68","in person"
"11/3/2020 8:19:45","18","10",08:10:00,"36","in person"
"11/3/2020 8:20:48","05","32",09:30:00,"0","by mail"
"11/3/2020 8:23:48","36","35",08:20:00,"57","in person"
"11/3/2020 8:24:07","46","22",13:00:00,"49","by mail"
"11/3/2020 8:26:35","8","27",08:00:00,"100","by mail"
"11/3/2020 8:26:46","27","05",15:14:00,"7","by mail"
"11/3/2020 8:32:36","31","10",08:30:00,"55","in person"
"11/3/2020 8:32:40","05","32",08:32:00,"69","in person"
"11/3/2020 8:32:51","27","7",08:30:00,"45","in person"
"11/3/2020 8:33:32","27","2",08:32:00,"48","in person"
"11/3/2020 8:35:08","39","5",16:20:00,"69","by mail"
