ward,Precinct,Register Voters,Ballots Cast,Turnout %
1,1,774,264,34.11%
1,2,757,234,30.91%
1,3,512,164,32.03%
1,4,621,211,33.98%
1,5,697,202,28.98%
1,6,587,235,40.03%
1,7,712,245,34.41%
1,8,659,248,37.63%
1,9,527,226,42.88%
1,10,686,245,35.71%
1,11,567,231,40.74%
1,12,774,289,37.34%
1,13,898,311,34.63%
1,14,563,231,41.03%
1,15,589,183,31.07%
1,16,240,105,43.75%
1,17,520,146,28.08%
1,18,590,229,38.81%
1,19,466,209,44.85%
1,20,622,304,48.87%
1,21,508,182,35.83%
1,22,619,189,30.53%
1,23,545,196,35.96%
1,24,787,324,41.17%
1,25,615,181,29.43%
1,26,545,181,33.21%
1,27,536,162,30.22%
1,28,406,124,30.54%
1,29,648,257,39.66%
1,30,852,333,39.08%
1,31,814,242,29.73%
1,32,719,223,31.02%
1,33,674,241,35.76%
1,34,526,175,33.27%
1,35,535,188,35.14%
1,36,686,246,35.86%
1,37,500,157,31.40%
1,38,472,145,30.72%
1,39,683,263,38.51%
1,40,389,106,27.25%
1,41,590,233,39.49%
1,42,574,189,32.93%
1,43,609,200,32.84%
1,44,527,193,36.62%
1,45,700,226,32.29%
1,46,666,252,37.84%
1,47,638,192,30.09%
1,48,408,183,44.85%
1,49,406,131,32.27%
1,50,456,138,30.26%
1,Total,"29,994","10,564",35.22%
1,,,,
2,WARD 2,,,
2,Precinct,Register Voters,Ballots Cast,Turnout %
2,1,1462,576,39.40%
2,2,240,88,36.67%
2,3,995,291,29.25%
2,4,650,193,29.69%
2,5,711,225,31.65%
2,6,1076,407,37.83%
2,7,594,285,47.98%
2,8,738,412,55.83%
2,9,601,234,38.94%
2,10,322,172,53.42%
2,11,707,434,61.39%
2,12,1237,390,31.53%
2,13,646,269,41.64%
2,14,505,306,60.59%
2,15,427,122,28.57%
2,16,1248,365,29.25%
2,17,596,164,27.52%
2,18,583,344,59.01%
2,19,952,464,48.74%
2,20,786,390,49.62%
2,21,540,306,56.67%
2,22,771,455,59.01%
2,23,459,166,36.17%
2,24,555,190,34.23%
2,25,982,367,37.37%
2,26,652,304,46.63%
2,27,550,176,32.00%
2,28,996,229,22.99%
2,29,378,162,42.86%
2,30,869,358,41.20%
2,31,511,235,45.99%
2,32,454,148,32.60%
2,33,731,135,18.47%
2,34,428,213,49.77%
2,35,199,90,45.23%
2,36,981,475,48.42%
2,37,507,263,51.87%
2,38,1055,474,44.93%
2,39,752,242,32.18%
2,40,1555,592,38.07%
2,41,446,114,25.56%
2,42,304,172,56.58%
2,43,647,366,56.57%
2,44,456,181,39.69%
2,45,726,248,34.16%
2,46,652,334,51.23%
2,47,480,141,29.38%
2,48,402,121,30.10%
2,49,723,296,40.94%
2,50,459,177,38.56%
2,51,539,167,30.98%
2,52,891,265,29.74%
2,53,729,243,33.33%
2,54,669,343,51.27%
2,55,427,149,34.89%
2,56,519,213,41.04%
2,Total,"38,070","15,241",40.03%
2,,,,
3,WARD 3,,,
3,Precinct,Register Voters,Ballots Cast,Turnout %
3,1,478,216,45.19%
3,2,568,303,53.35%
3,3,693,277,39.97%
3,4,380,164,43.16%
3,5,519,202,38.92%
3,6,151,37,24.50%
3,7,541,295,54.53%
3,8,665,214,32.18%
3,9,528,240,45.45%
3,10,277,86,31.05%
3,11,551,236,42.83%
3,12,592,189,31.93%
3,13,471,166,35.24%
3,14,332,157,47.29%
3,15,663,264,39.82%
3,16,410,195,47.56%
3,17,313,128,40.89%
3,18,282,99,35.11%
3,19,280,56,20.00%
3,20,372,175,47.04%
3,21,336,94,27.98%
3,22,292,125,42.81%
3,23,682,216,31.67%
3,24,746,299,40.08%
3,25,452,152,33.63%
3,26,216,56,25.93%
3,27,555,202,36.40%
3,28,1030,483,46.89%
3,29,518,199,38.42%
3,30,395,167,42.28%
3,31,689,310,44.99%
3,32,431,197,45.71%
3,33,766,269,35.12%
3,34,412,197,47.82%
3,35,528,229,43.37%
3,36,262,69,26.34%
3,37,226,101,44.69%
3,38,629,344,54.69%
3,39,467,325,69.59%
3,40,506,230,45.45%
3,41,479,197,41.13%
3,42,602,172,28.57%
3,43,133,37,27.82%
3,44,245,57,23.27%
3,45,743,336,45.22%
3,46,157,53,33.76%
3,47,380,130,34.21%
3,48,469,177,37.74%
3,49,196,60,30.61%
3,50,412,142,34.47%
3,Total,"23,020","9,324",40.50%
3,,,,
4,WARD 4,,,
4,Precinct,Register Voters,Ballots Cast,Turnout %
4,1,787,382,48.54%
4,2,624,340,54.49%
4,3,742,306,41.24%
4,4,716,296,41.34%
4,5,719,391,54.38%
4,6,197,113,57.36%
4,7,690,338,48.99%
4,8,770,325,42.21%
4,9,805,513,63.73%
4,10,615,284,46.18%
4,11,553,203,36.71%
4,12,375,167,44.53%
4,13,400,220,55.00%
4,14,562,169,30.07%
4,15,489,257,52.56%
4,16,750,302,40.27%
4,17,518,306,59.07%
4,18,586,258,44.03%
4,19,654,268,40.98%
4,20,584,211,36.13%
4,21,646,353,54.64%
4,22,633,360,56.87%
4,23,402,212,52.74%
4,24,652,278,42.64%
4,25,519,301,58.00%
4,26,628,296,47.13%
4,27,442,222,50.23%
4,28,360,180,50.00%
4,29,419,260,62.05%
4,30,438,225,51.37%
4,31,339,203,59.88%
4,32,573,307,53.58%
4,33,514,260,50.58%
4,34,415,223,53.73%
4,35,453,160,35.32%
4,36,412,195,47.33%
4,37,123,5,4.07%
4,38,715,403,56.36%
4,39,433,191,44.11%
4,40,641,256,39.94%
4,41,318,139,43.71%
4,42,598,317,53.01%
4,43,348,169,48.56%
4,44,294,160,54.42%
4,45,687,466,67.83%
4,46,439,184,41.91%
4,47,859,358,41.68%
4,48,624,383,61.38%
4,49,534,209,39.14%
4,50,588,267,45.41%
4,51,422,268,63.51%
4,52,656,298,45.43%
4,Total,"28,260","13,757",48.68%
4,,,,
5,WARD 5,,,
5,Precinct,Register Voters,Ballots Cast,Turnout %
5,1,615,285,46.34%
5,2,585,196,33.50%
5,3,290,124,42.76%
5,4,365,179,49.04%
5,5,540,200,37.04%
5,6,640,280,43.75%
5,7,591,270,45.69%
5,8,587,330,56.22%
5,9,561,236,42.07%
5,10,524,192,36.64%
5,11,397,224,56.42%
5,12,427,164,38.41%
5,13,560,235,41.96%
5,14,639,352,55.09%
5,15,464,223,48.06%
5,16,544,178,32.72%
5,17,563,228,40.50%
5,18,528,236,44.70%
5,19,357,113,31.65%
5,20,421,103,24.47%
5,21,594,242,40.74%
5,22,453,269,59.38%
5,23,483,158,32.71%
5,24,329,242,73.56%
5,25,637,234,36.73%
5,26,601,282,46.92%
5,27,759,313,41.24%
5,28,505,269,53.27%
5,29,494,237,47.98%
5,30,447,238,53.24%
5,31,569,229,40.25%
5,32,704,414,58.81%
5,33,318,184,57.86%
5,34,592,287,48.48%
5,35,375,195,52.00%
5,36,389,115,29.56%
5,37,376,200,53.19%
5,38,514,296,57.59%
5,39,598,334,55.85%
5,40,625,214,34.24%
5,41,464,245,52.80%
5,42,643,267,41.52%
5,43,536,260,48.51%
5,44,585,266,45.47%
5,45,344,124,36.05%
5,46,471,249,52.87%
5,47,451,180,39.91%
5,48,354,184,51.98%
5,49,133,58,43.61%
5,50,572,171,29.90%
5,51,478,149,31.17%
5,52,25,5,20.00%
5,53,534,284,53.18%
5,54,740,364,49.19%
5,55,478,219,45.82%
5,Total,"27,368","12,325",45.03%
5,,,,
6,WARD 6,,,
6,Precinct,Register Voters,Ballots Cast,Turnout %
6,1,571,323,56.57%
6,2,588,280,47.62%
6,3,599,297,49.58%
6,4,637,183,28.73%
6,5,402,115,28.61%
6,6,436,235,53.90%
6,7,620,237,38.23%
6,8,639,348,54.46%
6,9,556,259,46.58%
6,10,571,375,65.67%
6,11,539,266,49.35%
6,12,630,186,29.52%
6,13,570,223,39.12%
6,14,708,245,34.60%
6,15,626,166,26.52%
6,16,666,317,47.60%
6,17,593,314,52.95%
6,18,527,146,27.70%
6,19,658,295,44.83%
6,20,567,233,41.09%
6,21,544,273,50.18%
6,22,589,239,40.58%
6,23,512,212,41.41%
6,24,603,234,38.81%
6,25,447,179,40.04%
6,26,694,286,41.21%
6,27,716,317,44.27%
6,28,879,445,50.63%
6,29,611,331,54.17%
6,30,590,215,36.44%
6,31,647,312,48.22%
6,32,645,234,36.28%
6,33,694,308,44.38%
6,34,508,208,40.94%
6,35,551,242,43.92%
6,36,461,146,31.67%
6,37,561,322,57.40%
6,38,619,262,42.33%
6,39,575,199,34.61%
6,40,443,127,28.67%
6,41,539,297,55.10%
6,42,519,134,25.82%
6,43,627,281,44.82%
6,44,594,263,44.28%
6,45,458,206,44.98%
6,46,479,232,48.43%
6,47,558,278,49.82%
6,48,556,211,37.95%
6,49,708,268,37.85%
6,50,559,283,50.63%
6,51,413,174,42.13%
6,52,403,145,35.98%
6,53,530,235,44.34%
6,54,558,239,42.83%
6,55,581,211,36.32%
6,56,450,62,13.78%
6,57,364,139,38.19%
6,58,541,297,54.90%
6,59,506,246,48.62%
6,60,369,162,43.90%
6,61,379,129,34.04%
6,62,601,220,36.61%
6,63,473,205,43.34%
6,64,597,302,50.59%
6,Total,"35,954","15,353",42.70%
6,,,,
7,WARD 7,,,
7,Precinct,Register Voters,Ballots Cast,Turnout %
7,1,755,420,55.63%
7,2,726,253,34.85%
7,3,454,158,34.80%
7,4,587,183,31.18%
7,5,598,174,29.10%
7,6,556,193,34.71%
7,7,473,167,35.31%
7,8,270,78,28.89%
7,9,470,220,46.81%
7,10,464,161,34.70%
7,11,464,256,55.17%
7,12,418,178,42.58%
7,13,400,159,39.75%
7,14,581,252,43.37%
7,15,333,130,39.04%
7,16,452,137,30.31%
7,17,343,116,33.82%
7,18,482,157,32.57%
7,19,847,322,38.02%
7,20,398,84,21.11%
7,21,624,223,35.74%
7,22,449,161,35.86%
7,23,682,241,35.34%
7,24,487,212,43.53%
7,25,617,289,46.84%
7,26,714,281,39.36%
7,27,676,345,51.04%
7,28,646,236,36.53%
7,29,574,211,36.76%
7,30,482,254,52.70%
7,31,439,220,50.11%
7,32,546,157,28.75%
7,33,352,189,53.69%
7,34,444,189,42.57%
7,35,634,288,45.43%
7,36,580,219,37.76%
7,37,291,101,34.71%
7,38,416,153,36.78%
7,39,487,195,40.04%
7,40,726,278,38.29%
7,41,393,194,49.36%
7,42,852,309,36.27%
7,43,598,248,41.47%
7,44,998,369,36.97%
7,45,584,350,59.93%
7,46,241,141,58.51%
7,47,440,197,44.77%
7,48,438,194,44.29%
7,49,284,115,40.49%
7,50,310,169,54.52%
7,51,806,355,44.04%
7,52,431,172,39.91%
7,53,382,177,46.34%
7,54,275,88,32.00%
7,55,417,202,48.44%
7,56,465,197,42.37%
7,57,460,177,38.48%
7,58,461,285,61.82%
7,59,340,117,34.41%
7,60,334,137,41.02%
7,61,426,190,44.60%
7,Total,"30,872","12,623",40.89%
7,,,,
8,WARD 8,,,
8,Precinct,Register Voters,Ballots Cast,Turnout %
8,1,508,271,53.35%
8,2,296,118,39.86%
8,3,567,323,56.97%
8,4,473,240,50.74%
8,5,496,298,60.08%
8,6,551,263,47.73%
8,7,496,209,42.14%
8,8,521,290,55.66%
8,9,578,310,53.63%
8,10,589,348,59.08%
8,11,571,245,42.91%
8,12,522,221,42.34%
8,13,427,199,46.60%
8,14,499,128,25.65%
8,15,429,187,43.59%
8,16,459,263,57.30%
8,17,415,238,57.35%
8,18,393,147,37.40%
8,19,612,293,47.88%
8,20,438,180,41.10%
8,21,410,213,51.95%
8,22,482,207,42.95%
8,23,497,207,41.65%
8,24,523,258,49.33%
8,25,521,229,43.95%
8,26,446,169,37.89%
8,27,555,287,51.71%
8,28,431,214,49.65%
8,29,622,241,38.75%
8,30,465,225,48.39%
8,31,428,167,39.02%
8,32,759,335,44.14%
8,33,500,217,43.40%
8,34,713,308,43.20%
8,35,575,292,50.78%
8,36,497,209,42.05%
8,37,717,265,36.96%
8,38,597,225,37.69%
8,39,530,240,45.28%
8,40,508,182,35.83%
8,41,419,187,44.63%
8,42,499,268,53.71%
8,43,508,173,34.06%
8,44,400,201,50.25%
8,45,544,183,33.64%
8,46,475,204,42.95%
8,47,522,261,50.00%
8,48,495,211,42.63%
8,49,647,299,46.21%
8,50,522,256,49.04%
8,51,652,301,46.17%
8,52,507,254,50.10%
8,53,590,281,47.63%
8,54,600,253,42.17%
8,55,592,194,32.77%
8,56,617,235,38.09%
8,57,504,215,42.66%
8,58,522,256,49.04%
8,59,379,133,35.09%
8,60,495,208,42.02%
8,61,410,199,48.54%
8,62,412,235,57.04%
8,63,483,259,53.62%
8,64,578,221,38.24%
8,65,328,149,45.43%
8,66,770,328,42.60%
8,67,408,164,40.20%
8,68,432,140,32.41%
8,69,414,138,33.33%
8,70,755,281,37.22%
8,Total,"36,095","16,148",44.74%
8,,,,
9,WARD 9,,,
9,Precinct,Register Voters,Ballots Cast,Turnout %
9,1,627,284,45.30%
9,2,709,236,33.29%
9,3,340,84,24.71%
9,4,543,227,41.80%
9,5,751,285,37.95%
9,6,689,264,38.32%
9,7,603,197,32.67%
9,8,714,251,35.15%
9,9,600,317,52.83%
9,10,601,215,35.77%
9,11,553,176,31.83%
9,12,638,212,33.23%
9,13,582,270,46.39%
9,14,760,334,43.95%
9,15,738,190,25.75%
9,16,597,167,27.97%
9,17,620,203,32.74%
9,18,627,248,39.55%
9,19,619,241,38.93%
9,20,602,254,42.19%
9,21,648,218,33.64%
9,22,657,285,43.38%
9,23,505,168,33.27%
9,24,438,100,22.83%
9,25,476,194,40.76%
9,26,535,133,24.86%
9,27,596,220,36.91%
9,28,667,122,18.29%
9,29,584,194,33.22%
9,30,600,252,42.00%
9,31,523,191,36.52%
9,32,605,228,37.69%
9,33,663,174,26.24%
9,34,625,197,31.52%
9,35,613,281,45.84%
9,36,684,278,40.64%
9,37,480,214,44.58%
9,38,665,225,33.83%
9,39,722,283,39.20%
9,40,631,267,42.31%
9,41,671,254,37.85%
9,42,368,83,22.55%
9,43,517,134,25.92%
9,44,585,131,22.39%
9,45,551,201,36.48%
9,46,524,191,36.45%
9,47,660,274,41.52%
9,48,536,280,52.24%
