"Timestamp","Ward (1 - 66)","Division (1 - 51)","Time of day","Voter number within your division (how many people voted before you, plus you)"
"5/21/2019 7:06:25","15","15",07:01:00,"2"
"5/21/2019 7:08:13","27","14",07:05:00,"3"
"5/21/2019 7:09:34","18","5",07:01:00,"1"
"5/21/2019 7:09:37","15","07",07:10:00,"5"
"5/21/2019 7:12:08","18","6",07:00:00,"3"
"5/21/2019 7:16:41","27","14",07:13:00,"4"
"5/21/2019 7:19:06","46","19",07:15:00,"12"
"5/21/2019 7:21:28","25","22",07:00:00,"1"
"5/21/2019 7:24:29","36","37",07:19:00,"8"
"5/21/2019 7:24:41","45","4",07:20:00,"6"
"5/21/2019 7:27:31","2","13",07:05:00,"1"
"5/21/2019 7:27:41","9","6",07:20:00,"10"
"5/21/2019 7:30:06","5","4",07:20:00,"10"
"5/21/2019 7:30:10","5","3",07:20:00,"9"
"5/21/2019 7:31:22","2","20",07:15:00,"6"
"5/21/2019 7:31:56","50","2",07:20:00,"6"
"5/21/2019 7:33:14","8","28",07:15:00,"10"
"5/21/2019 7:33:16","1","14",07:15:00,"6"
"5/21/2019 7:33:45","30","17",07:30:00,"18"
"5/21/2019 7:34:00","18","02",07:30:00,"7"
"5/21/2019 7:34:02","8","25",07:04:00,"6"
"5/21/2019 7:36:28","08","05",07:24:00,"2"
"5/21/2019 7:37:01","30","17",07:30:00,"19"
"5/21/2019 7:38:03","15","18",07:30:00,"12"
"5/21/2019 7:40:34","46","7",07:25:00,"13"
"5/21/2019 7:41:07","46","2",07:15:00,"4"
"5/21/2019 7:41:43","18","11",07:40:00,"16"
"5/21/2019 7:41:54","2","6",07:30:00,"14"
"5/21/2019 7:42:20","30","2",07:30:00,"11"
"5/21/2019 7:43:33","30","2",07:43:00,"16"
"5/21/2019 7:49:21","02","09",07:35:00,"9"
"5/21/2019 7:49:51","36","37",07:45:00,"18"
"5/21/2019 7:51:08","46","1",07:40:00,"15"
"5/21/2019 7:54:38","08","05",07:54:00,"13"
"5/21/2019 7:55:07","47","10",07:35:00,"1"
"5/21/2019 7:55:16","2","16",07:55:00,"33"
"5/21/2019 7:56:09","39","37",07:00:00,"1"
"5/21/2019 7:56:11","02","04",07:50:00,"16"
"5/21/2019 7:57:34","15","15",07:56:00,"19"
"5/21/2019 7:58:40","36","38",07:58:00,"13"
"5/21/2019 7:59:08","39","02",07:10:00,"1"
"5/21/2019 7:59:18","30","9",07:26:00,"18"
"5/21/2019 7:59:38","8","12",07:50:00,"10"
"5/21/2019 8:00:12","38","14",07:35:00,"9"
"5/21/2019 8:01:09","5","1",07:30:00,"15"
"5/21/2019 8:01:29","31","10",08:30:00,"4"
"5/21/2019 8:02:10","2","18",07:49:00,"17"
"5/21/2019 8:02:41","2","18",07:50:00,"18"
"5/21/2019 8:03:44","46","19",07:54:00,"38"
"5/21/2019 8:03:46","1","5",07:07:00,"4"
"5/21/2019 8:03:52","18","11",07:05:00,"4"
"5/21/2019 8:04:29","29","11",08:05:00,"14"
"5/21/2019 8:05:38","18","18",08:01:00,"14"
"5/21/2019 8:05:50","30","5",08:00:00,"16"
"5/21/2019 8:06:48","5","3",07:23:00,"11"
"5/21/2019 8:07:48","46","03",08:07:00,"30"
"5/21/2019 8:08:08","5","33",08:00:00,"7"
"5/21/2019 8:08:20","5","33",07:57:00,"6"
"5/21/2019 8:09:16","46","17",08:10:00,"52"
"5/21/2019 8:09:24","27","10",07:15:00,"3"
"5/21/2019 8:10:57","2","23",08:10:00,"35"
"5/21/2019 8:11:00","5","9",07:05:00,"5"
"5/21/2019 8:11:31","5","15",07:30:00,"11"
"5/21/2019 8:13:04","36","41",07:45:00,"11"
"5/21/2019 8:14:19","46","16",07:10:00,"24"
"5/21/2019 8:14:23","46","16",08:13:00,"51"
"5/21/2019 8:15:54","34","30",08:00:00,"20"
"5/21/2019 8:15:40","21","40",07:50:00,"11"
"5/21/2019 8:16:50","5","30",08:15:00,"18"
"5/21/2019 8:17:48","46","18",08:17:00,"39"
"5/21/2019 8:18:16","59","4",07:58:00,"15"
"5/21/2019 8:18:41","29","3",07:45:00,"16"
"5/21/2019 8:18:43","39","22",08:10:00,"13"
"5/21/2019 8:19:21","63","18",07:20:00,"3"
"5/21/2019 8:19:43","46","16",08:19:00,"56"
"5/21/2019 8:20:12","8","24",07:55:00,"35"
"5/21/2019 8:22:29","5","34",08:00:00,"18"
"5/21/2019 8:23:57","8","26",07:30:00,"18"
"5/21/2019 8:26:46","15","5",08:26:00,"38"
"5/21/2019 8:26:39","46","17",07:52:00,"40"
"5/21/2019 8:27:01","36","17",08:26:00,"23"
"5/21/2019 8:27:10","1","3",07:40:00,"21"
"5/21/2019 8:28:23","2","16",08:25:00,"45"
"5/21/2019 8:29:30","36","29",07:50:00,"17"
"5/21/2019 8:29:36","6","22",08:25:00,"32"
"5/21/2019 8:30:04","46","16",08:29:00,"64"
"5/21/2019 8:30:35","47","1",08:30:00,"17"
"5/21/2019 8:31:25","36","17",08:25:00,"24"
"5/21/2019 8:31:45","21","9",07:05:00,"3"
"5/21/2019 8:32:03","21","9",07:50:00,"15"
"5/21/2019 8:32:34","18","9",08:28:00,"24"
"5/21/2019 8:32:38","36","3",07:01:00,"2"
"5/21/2019 8:33:55","39","37",07:20:00,"5"
"5/21/2019 8:33:40","60","8",07:45:00,"7"
"5/21/2019 8:36:16","1","22",08:20:00,"41"
"5/21/2019 8:36:32","24","2",07:15:00,"3"
"5/21/2019 8:36:32","30","7",08:35:00,"59"
"5/21/2019 8:36:38","02","15",08:00:00,"16"
"5/21/2019 8:37:53","39","45",07:30:00,"18"
"5/21/2019 8:38:02","1","10",08:15:00,"17"
"5/21/2019 8:39:21","8","26",08:38:00,"67"
"5/21/2019 8:39:53","5","34",08:38:00,"28"
"5/21/2019 8:40:06","1","3",07:40:00,"22"
"5/21/2019 8:40:18","30","10",08:35:00,"35"
"5/21/2019 8:40:40","8","20",08:40:00,"13"
"5/21/2019 8:41:08","18","16",07:05:00,"3"
"5/21/2019 8:41:43","21","24",08:41:00,"46"
"5/21/2019 8:41:52","36","38",08:15:00,"14"
"5/21/2019 8:42:10","15","15",08:41:00,"29"
"5/21/2019 8:42:34","15","17",07:45:00,"17"
"5/21/2019 8:43:07","18","11",07:15:00,"26"
"5/21/2019 8:43:18","8","15",07:05:00,"2"
"5/21/2019 8:45:48","25","15",08:30:00,"12"
"5/21/2019 8:46:08","21","35",08:40:00,"21"
"5/21/2019 8:46:28","39","22",08:05:00,"12"
"5/21/2019 8:47:32","60","8",08:15:00,"13"
"5/21/2019 8:48:04","36","09",07:01:00,"2"
"5/21/2019 8:48:59","18","06",08:40:00,"29"
"5/21/2019 8:50:40","46","1",07:30:00,"16"
"5/21/2019 8:51:04","46","10",08:05:00,"21"
"5/21/2019 8:52:21","11","9",08:20:00,"9"
"5/21/2019 8:53:56","30","09",07:00:00,"3"
"5/21/2019 8:54:01","2","9",08:20:00,"30"
"5/21/2019 8:54:21","27","23",08:00:00,"23"
"5/21/2019 8:54:29","29","12",08:10:00,"19"
"5/21/2019 8:55:51","39","38",08:55:00,"32"
"5/21/2019 8:56:30","2","19",07:10:00,"4"
"5/21/2019 8:56:39","36","29",08:20:00,"23"
"5/21/2019 8:57:10","60","2",07:15:00,"5"
"5/21/2019 8:57:43","1","10",08:55:00,"37"
"5/21/2019 8:58:00","2","26",08:45:00,"52"
"5/21/2019 8:58:11","2","17",08:45:00,"48"
"5/21/2019 8:59:21","25","5",07:15:00,"4"
"5/21/2019 9:00:14","30","8",07:10:00,"11"
"5/21/2019 9:01:02","25","5",07:20:00,"6"
"5/21/2019 9:02:40","30","17",08:45:00,"63"
"5/21/2019 9:05:18","36","38",09:05:00,"31"
"5/21/2019 9:05:22","38","11",08:12:00,"5"
"5/21/2019 9:05:28","39","27",09:00:00,"34"
"5/21/2019 9:05:38","26","15",09:00:00,"29"
"5/21/2019 9:05:47","36","37",09:05:00,"42"
"5/21/2019 9:06:23","22","18",07:20:00,"3"
"5/21/2019 9:09:25","46","09",07:45:00,"24"
"5/21/2019 9:10:01","26","05",08:15:00,"17"
"5/21/2019 9:10:42","27","23",07:30:00,"15"
"5/21/2019 9:11:25","18","10",09:00:00,"35"
"5/21/2019 9:11:31","55","14",08:30:00,"8"
"5/21/2019 9:11:41","36","29",09:06:00,"34"
"5/21/2019 9:12:03","5","4",08:20:00,"38"
"5/21/2019 9:12:35","2","23",09:12:00,"59"
"5/21/2019 9:12:36","15","11",08:25:00,"18"
"5/21/2019 9:13:26","31","1",09:06:00,"26"
"5/21/2019 9:14:47","39","28",09:05:00,"28"
"5/21/2019 9:14:50","27","14",09:14:00,"30"
"5/21/2019 9:14:56","30","4",08:10:00,"12"
"5/21/2019 9:16:04","1","16",09:10:00,"32"
"5/21/2019 9:16:10","36","11",09:15:00,"26"
"5/21/2019 9:17:04","24","19",08:30:00,"4"
"5/21/2019 9:16:15","46","18",08:15:00,"35"
"5/21/2019 9:17:15","3","12",08:30:00,"30"
"5/21/2019 9:17:53","51","6",09:06:00,"51"
"5/21/2019 9:17:54","1","11",08:00:00,"17"
"5/21/2019 9:18:45","21","24",07:15:00,"15"
"5/21/2019 9:20:34","30","08",09:18:00,"69"
"5/21/2019 9:22:15","31","4",09:22:00,"34"
"5/21/2019 9:23:01","30","9",07:40:00,"32"
"5/21/2019 9:23:11","18","11",09:00:00,"59"
