"timestamp","row_number","ward","div","precinct","obs","log_obs","precinct_num","minute"
"11/5/2019 13:58:00",1,"21","27","2127",115,4.74493212836325,474,408
"11/5/2019 10:34:00",2,"19","14","1914",19,2.94443897916644,431,204
"11/5/2019 13:14:00",3,"66","23","6623",76,4.33073334028633,1680,364
"11/5/2019 13:45:00",4,"48","20","4820",67,4.20469261939097,1191,395
"11/5/2019 8:23:00",5,"11","14","1114",18,2.89037175789616,266,73
"11/5/2019 11:04:00",6,"39","30","3930",62,4.12713438504509,947,234
"11/5/2019 7:23:00",7,"52","24","5224",4,1.38629436111989,1298,13
"11/5/2019 13:38:00",8,"34","17","3417",86,4.45434729625351,777,388
"11/5/2019 11:52:00",9,"15","02","1502",122,4.80402104473326,334,282
"11/5/2019 11:01:00",10,"36","32","3632",58,4.06044301054642,866,231
"11/5/2019 7:11:00",11,"35","18","3518",1,0,820,1
"11/5/2019 7:29:00",12,"37","04","3704",2,0.693147180559945,879,19
"11/5/2019 10:55:00",14,"38","14","3814",41,3.71357206670431,910,225
"11/5/2019 12:20:00",15,"60","20","6020",79,4.36944785246702,1534,310
"11/5/2019 7:56:00",16,"50","01","5001",11,2.39789527279837,1217,46
"11/5/2019 8:10:00",17,"55","11","5511",10,2.30258509299405,1358,60
"11/5/2019 8:46:00",18,"13","15","1315",25,3.2188758248682,311,96
"11/5/2019 11:03:00",19,"45","08","4508",33,3.49650756146648,1117,233
"11/5/2019 7:12:00",20,"22","06","2206",3,1.09861228866811,498,2
"11/5/2019 11:52:00",21,"30","09","3009",79,4.36944785246702,678,282
"11/5/2019 10:53:00",22,"65","07","6507",103,4.63472898822964,1641,223
"11/5/2019 10:28:00",23,"43","12","4312",38,3.63758615972639,1077,198
"11/5/2019 7:30:00",24,"34","11","3411",3,1.09861228866811,771,20
"11/5/2019 12:47:00",25,"62","13","6213",65,4.17438726989564,1578,337
"11/5/2019 12:00:00",26,"24","11","2411",47,3.85014760171006,555,290
"11/5/2019 10:50:00",27,"66","08","6608",103,4.63472898822964,1665,220
"11/5/2019 12:46:00",28,"56","04","5604",46,3.8286413964891,1380,336
"11/5/2019 13:33:00",29,"50","06","5006",118,4.77068462446567,1222,383
"11/5/2019 7:34:00",30,"42","02","4202",3,1.09861228866811,1042,24
"11/5/2019 11:44:00",31,"22","29","2229",113,4.72738781871234,521,274
"11/5/2019 9:46:00",32,"60","16","6016",62,4.12713438504509,1530,156
"11/5/2019 7:37:00",33,"49","09","4909",9,2.19722457733622,1203,27
"11/5/2019 11:25:00",34,"34","14","3414",95,4.55387689160054,774,255
"11/5/2019 14:33:00",35,"20","02","2002",64,4.15888308335967,438,443
"11/5/2019 9:37:00",36,"32","01","3201",29,3.36729582998647,706,147
"11/5/2019 14:04:00",38,"38","10","3810",90,4.49980967033027,906,414
"11/5/2019 14:25:00",39,"66","08","6608",179,5.18738580584075,1665,435
"11/5/2019 14:05:00",41,"21","10","2110",74,4.30406509320417,457,415
"11/5/2019 11:10:00",42,"23","11","2311",47,3.85014760171006,532,240
"11/5/2019 13:23:00",43,"40","07","4007",102,4.62497281328427,970,373
"11/5/2019 14:37:00",44,"13","08","1308",89,4.48863636973214,304,447
"11/5/2019 12:39:00",45,"28","18","2818",61,4.11087386417331,651,329
"11/5/2019 14:45:00",46,"56","28","5628",100,4.60517018598809,1404,455
"11/5/2019 12:22:00",47,"66","31","6631",56,4.02535169073515,1688,312
"11/5/2019 11:58:00",48,"39","26","3926",44,3.78418963391826,943,288
"11/5/2019 7:59:00",49,"41","04","4104",9,2.19722457733622,1018,49
"11/5/2019 8:26:00",50,"39","03","3903",24,3.17805383034795,920,76
"11/5/2019 8:25:00",51,"55","15","5515",16,2.77258872223978,1362,75
"11/5/2019 9:07:00",52,"62","21","6221",20,2.99573227355399,1586,117
"11/5/2019 14:55:00",53,"50","06","5006",195,5.27299955856375,1222,465
"11/5/2019 12:43:00",54,"51","14","5114",74,4.30406509320417,1260,333
"11/5/2019 8:48:00",55,"57","06","5706",47,3.85014760171006,1423,98
"11/5/2019 13:58:00",56,"35","07","3507",169,5.12989871492307,809,408
"11/5/2019 9:59:00",57,"30","07","3007",85,4.44265125649032,676,169
"11/5/2019 11:46:00",58,"36","01","3601",49,3.89182029811063,835,276
"11/5/2019 8:17:00",59,"34","18","3418",19,2.94443897916644,778,67
"11/5/2019 11:00:00",60,"39","21","3921",97,4.57471097850338,938,230
"11/5/2019 14:58:00",61,"19","04","1904",63,4.14313472639153,421,468
"11/5/2019 7:39:00",62,"22","10","2210",4,1.38629436111989,502,29
"11/5/2019 8:05:00",63,"36","02","3602",10,2.30258509299405,836,55
"11/5/2019 9:58:00",64,"62","04","6204",49,3.89182029811063,1569,168
"11/5/2019 14:19:00",65,"13","01","1301",170,5.13579843705026,297,429
"11/5/2019 9:02:00",66,"46","19","4619",76,4.33073334028633,1153,112
"11/5/2019 13:59:00",67,"41","11","4111",109,4.69134788222914,1025,409
"11/5/2019 9:05:00",68,"50","01","5001",33,3.49650756146648,1217,115
"11/5/2019 14:22:00",69,"54","17","5417",57,4.04305126783455,1342,432
"11/5/2019 13:42:00",70,"25","13","2513",40,3.68887945411394,576,392
"11/5/2019 13:27:00",71,"41","14","4114",82,4.40671924726425,1028,377
"11/5/2019 14:23:00",72,"57","02","5702",148,4.99721227376411,1419,433
"11/5/2019 12:39:00",73,"25","21","2521",23,3.13549421592915,584,329
"11/5/2019 12:05:00",74,"11","11","1111",61,4.11087386417331,263,295
"11/5/2019 9:35:00",75,"64","06","6406",63,4.14313472639153,1622,145
"11/5/2019 10:14:00",76,"58","23","5823",80,4.38202663467388,1468,184
"11/5/2019 7:42:00",77,"46","15","4615",5,1.6094379124341,1149,32
"11/5/2019 14:26:00",78,"61","27","6127",128,4.85203026391962,1564,436
"11/5/2019 14:53:00",79,"42","03","4203",96,4.56434819146784,1043,463
"11/5/2019 11:46:00",80,"63","16","6316",71,4.26267987704132,1607,276
"11/5/2019 12:50:00",81,"47","01","4701",54,3.98898404656427,1158,340
"11/5/2019 10:03:00",82,"40","09","4009",65,4.17438726989564,972,173
"11/5/2019 10:12:00",83,"56","11","5611",43,3.76120011569356,1387,182
"11/5/2019 7:38:00",84,"35","25","3525",3,1.09861228866811,827,28
"11/5/2019 9:59:00",85,"23","06","2306",38,3.63758615972639,527,169
"11/5/2019 9:52:00",86,"21","11","2111",52,3.95124371858143,458,162
"11/5/2019 12:35:00",87,"30","07","3007",99,4.59511985013459,676,325
"11/5/2019 14:38:00",88,"32","09","3209",90,4.49980967033027,714,448
